split,seed,fold,phase,train_end_idx,val_start_idx,val_end_idx,test_start_idx,test_end_idx,n_test_samples,validation_relative_total_return,policy_total_return,policy_relative_total_return,static_hold_total_return,delta_total_return_vs_static_hold,mean_spy_weight,mean_turnover,test_worst_daily_relative_return,test_max_relative_drawdown,active,signal_scale,signal_bias,validation_signal_abs_p95,validation_proposed_step_p95,validation_proposed_steps_over_band,validation_gate_suppressed_step_count,validation_gate_suppression_rate,test_signal_abs_p95,test_proposed_step_p95,test_proposed_steps_over_band,test_executed_step_count,test_gate_suppressed_step_count,test_gate_suppression_rate
chrono,5,fold_01,test,1628,1629,2326,2327,2791,465,0.005821678609067016,0.23605869994212392,0.006255938063070232,0.2283740678553392,0.007684632086784715,1.0203425908260535,0.00023129216882343662,-0.0010789559116913816,0.0027930616995706092,1,0.30333333333333334,0.02774405867971098,0.06257411848001215,0.022609089899223306,66,688,0.9870875179340028,0.05972750590404349,0.019896505711956013,11,4,460,0.9913793103448276
chrono,5,fold_02,test,2093,2094,2791,2792,3256,465,0.007621946533655999,0.2805177650240891,0.008315083085447705,0.2699579590793191,0.010559805944770018,1.0089298532253308,0.0016910568556022642,-0.001886210325626747,0.0063202674247963,1,0.3466666666666667,0.02650175928531908,0.05599204253720216,0.02081705241934344,30,692,0.9928263988522238,0.0841754660734733,0.024823442721453638,47,27,437,0.9418103448275862
chrono,5,fold_03,test,2558,2559,3256,3257,3721,465,0.009890312996605699,0.2782033125622463,0.004380053891298807,0.2726291283962341,0.005574184166012186,1.012399023692976,0.000753691108119383,-0.0017777981497996143,0.0048940080326497215,1,0.39,0.03456379080681335,0.07929569978910818,0.022875876049310476,49,668,0.9583931133428981,0.0900809764794151,0.021934213703984212,26,13,451,0.9719827586206896
chrono,5,fold_04,test,3023,3024,3721,3722,4186,465,0.011455856957999222,0.35528556977833325,0.008177535147328774,0.34429257003854996,0.010992999739783293,1.0174506828999832,0.00038837182484160733,-0.0011660074138445387,0.003608151765695067,1,0.3466666666666667,0.037412409688475125,0.0913209528554333,0.02234082363020495,44,670,0.9612625538020086,0.09082916677930361,0.02110927960286343,22,7,457,0.9849137931034483
chrono,5,fold_05,test,3488,3489,4186,4187,4651,465,0.007461605249781789,0.36665622949390086,0.0032793641792554507,0.36218911530380193,0.004467114190098931,1.0060522332778485,0.00018835755249683328,-0.00047309461836186895,0.0018257799183075685,1,0.17333333333333334,0.04270317384858024,0.10632048169955621,0.01847955091602271,18,692,0.9928263988522238,0.075419003880008,0.01740057164174745,9,3,461,0.9935344827586207
