split,seed,fold,phase,train_end_idx,val_start_idx,val_end_idx,test_start_idx,test_end_idx,n_test_samples,validation_relative_total_return,policy_total_return,policy_relative_total_return,static_hold_total_return,delta_total_return_vs_static_hold,mean_spy_weight,mean_turnover,active,signal_scale,signal_bias,validation_signal_abs_p95,validation_proposed_step_p95,validation_proposed_steps_over_band,validation_gate_suppressed_step_count,validation_gate_suppression_rate,test_signal_abs_p95,test_proposed_step_p95,test_proposed_steps_over_band,test_executed_step_count,test_gate_suppressed_step_count,test_gate_suppression_rate
chrono,5,fold_01,test,1628,1629,2326,2327,2791,465,0.0075207930321552485,0.23943048319754023,0.009000853755814608,0.2283740678553392,0.011056415342201031,1.0368510542756293,0.0005450004562322009,1,0.75,0.027744160866831465,0.06257423294745695,0.01901699820980561,26,671,0.9626972740315638,0.05972785452698451,0.016634415128492147,10,10,454,0.978448275862069
chrono,5,fold_02,test,2093,2094,2791,2792,3256,465,0.010157311003549774,0.27650991790258606,0.005159193480717139,0.2699579590793191,0.006551958823266979,1.0146553267049356,0.0030832311442987124,1,0.7000000000000002,0.026501835221048157,0.05599260231861924,0.01909511765541784,24,673,0.9655667144906743,0.08417725461913735,0.02470797596717018,47,47,417,0.8987068965517241
chrono,5,fold_03,test,2558,2559,3256,3257,3721,465,0.009135823350742589,0.2775771181632347,0.003888006062878757,0.2726291283962341,0.004947989767000616,1.0166728915137238,0.0008443242007730033,1,0.5,0.03456387184687949,0.0792962365686129,0.020161169695748035,37,660,0.9469153515064562,0.09008196511945045,0.01870194059762582,17,17,447,0.9633620689655172
chrono,5,fold_04,test,3023,3024,3721,3722,4186,465,0.014774433370789986,0.35800939713533175,0.010203751328022648,0.34429257003854996,0.013716827096781792,1.0205949187062529,0.0010279753503576003,1,0.55,0.037412483919078525,0.09132173146810996,0.022819242458901094,50,647,0.9282639885222381,0.09082969918429808,0.019180516077464026,20,20,444,0.9568965517241379
chrono,5,fold_05,test,3488,3489,4186,4187,4651,465,0.0074572059508144495,0.36639510484163407,0.003087669318877273,0.36218911530380193,0.004205989537832133,1.0061488043159148,0.0001580922767159294,1,0.20000000000000007,0.042703247284505017,0.10632136767052079,0.015855577974598353,7,690,0.9899569583931134,0.07541987631057878,0.014819682073048884,3,3,461,0.9935344827586207
