split,seed,fold,phase,train_end_idx,val_start_idx,val_end_idx,test_start_idx,test_end_idx,n_test_samples,validation_relative_total_return,policy_total_return,policy_relative_total_return,static_hold_total_return,delta_total_return_vs_static_hold,mean_spy_weight,mean_turnover,test_worst_daily_relative_return,test_max_relative_drawdown,active,signal_scale,signal_bias,validation_signal_abs_p95,validation_proposed_step_p95,validation_proposed_steps_over_band,validation_gate_suppressed_step_count,validation_gate_suppression_rate,test_signal_abs_p95,test_proposed_step_p95,test_proposed_steps_over_band,test_executed_step_count,test_gate_suppressed_step_count,test_gate_suppression_rate
chrono,17,fold_01,test,1628,1629,2326,2327,2791,465,0.005821675947835558,0.23447780959356224,0.004968960105841136,0.2283740678553392,0.006103741738223034,1.012968951735794,0.00021890627410567335,-0.0010789555787933391,0.0026843328485369744,1,0.30333333333333334,0.027744055273486598,0.06257411466396395,0.022609079933742955,67,688,0.9870875179340028,0.059727494283329574,0.019524991228909713,11,4,460,0.9913793103448276
chrono,17,fold_02,test,2093,2094,2791,2792,3256,465,0.007621944459133667,0.2707942508636063,0.0006585192669634754,0.2699579590793191,0.0008362917842872353,1.009942939495549,0.0011596915311786677,-0.0018846647343342404,0.006321441780600234,1,0.3466666666666667,0.026501756754135606,0.05599202387828181,0.02081704344348769,31,692,0.9928263988522238,0.08417540645731043,0.023914069157559368,36,19,445,0.959051724137931
chrono,17,fold_03,test,2558,2559,3256,3257,3721,465,0.009890306916682912,0.27820331036119494,0.0043800521617680666,0.2726291283962341,0.005574181964960845,1.0123990224740407,0.0007536906155103781,-0.001777796862240666,0.004894006025725317,1,0.39,0.034563788105484355,0.07929568189680797,0.022875859239351565,49,668,0.9583931133428981,0.09008094352559236,0.021934202910385687,27,13,451,0.9719827586206896
chrono,17,fold_04,test,3023,3024,3721,3722,4186,465,0.011455851632772962,0.3552926177157203,0.008182778007063574,0.34429257003854996,0.011000047677170333,1.0181937330850586,0.0003875154609550361,-0.0011660074138445387,0.003608151080132682,1,0.3466666666666667,0.037412407214126746,0.09132092690223882,0.022340813918219245,44,670,0.9612625538020086,0.09082914903275086,0.022040103669230295,26,7,457,0.9849137931034483
chrono,17,fold_05,test,3488,3489,4186,4187,4651,465,0.007461602023314473,0.36665622822346355,0.0032793632466114886,0.36218911530380193,0.00446711291966162,1.00605223005014,0.00018835745511662472,-0.0004730943313828728,0.0018257781698797215,1,0.17333333333333334,0.04270317140072043,0.10632045216772583,0.018479541740906887,18,692,0.9928263988522238,0.075418974799594,0.017400566815642414,9,3,461,0.9935344827586207
