split,seed,fold,phase,train_end_idx,val_start_idx,val_end_idx,test_start_idx,test_end_idx,n_test_samples,validation_relative_total_return,policy_total_return,policy_relative_total_return,static_hold_total_return,delta_total_return_vs_static_hold,mean_spy_weight,mean_turnover,test_worst_daily_relative_return,test_max_relative_drawdown,active,signal_scale,signal_bias,validation_signal_abs_p95,validation_proposed_step_p95,validation_proposed_steps_over_band,validation_gate_suppressed_step_count,validation_gate_suppression_rate,test_signal_abs_p95,test_proposed_step_p95,test_proposed_steps_over_band,test_executed_step_count,test_gate_suppressed_step_count,test_gate_suppression_rate
chrono,17,fold_01,test,1628,1629,2326,2327,2791,465,0.006435876902563198,0.23640146018539965,0.006534973783739684,0.2283740678553392,0.008027392330060446,1.0203425908260535,0.00023129216882343662,-0.0010789559116913816,0.002793061699570387,1,0.30333333333333334,0.02774405867971098,0.06257411848001215,0.022609089899223306,66,688,0.9870875179340028,0.05972750590404349,0.019896505711956013,11,4,460,0.9913793103448276
chrono,17,fold_02,test,2093,2094,2791,2792,3256,465,0.00885366075962235,0.2763471682159828,0.005031039878907295,0.2699579590793191,0.006389209136663743,1.0132637873390564,0.0016007314161341217,-0.0023542666504782206,0.007517385686211742,1,0.43333333333333346,0.02650175928531908,0.05599204253720216,0.021079241251494848,30,686,0.9842180774748924,0.0841754660734733,0.02458790004456574,45,24,440,0.9482758620689655
chrono,17,fold_03,test,2558,2559,3256,3257,3721,465,0.012257166318091928,0.2793613828983992,0.005290036470129378,0.2726291283962341,0.00673225450216508,1.012399023692976,0.000753691108119383,-0.001699504415696551,0.004815958712773072,1,0.39,0.03456379080681335,0.07929569978910818,0.022875876049310476,49,668,0.9583931133428981,0.0900809764794151,0.021934213703984212,26,13,451,0.9719827586206896
chrono,17,fold_04,test,3023,3024,3721,3722,4186,465,0.013511835725453114,0.3559197527714917,0.008649294797938412,0.34429257003854996,0.011627182732941721,1.0174506828999832,0.00038837182484160733,-0.0011660074138445387,0.0036072985762877208,1,0.3466666666666667,0.037412409688475125,0.0913209528554333,0.02234082363020495,44,670,0.9612625538020086,0.09082916677930361,0.02110927960286343,22,7,457,0.9849137931034483
chrono,17,fold_05,test,3488,3489,4186,4187,4651,465,0.0078117222734657155,0.36696361796866883,0.00350502188809676,0.36218911530380193,0.0047745026648668976,1.0060522332778485,0.00018835755249683328,-0.00047309461836186895,0.0018028206433228222,1,0.17333333333333334,0.04270317384858024,0.10632048169955621,0.01847955091602271,18,692,0.9928263988522238,0.075419003880008,0.01740057164174745,9,3,461,0.9935344827586207
