candidate,breaches_total,breaches_2020_2026,breaches_2015_2019,mean_test_relative_2020_2026,mean_test_relative_2015_2019,min_robust_min_p05_2020_2026,min_robust_min_p05_2015_2019,max_dead_fold_fraction_2020_2026,max_dead_fold_fraction_2015_2019,promo_pass
objw05_ntb005_floor,0,0,0,6.577593106470065e-05,-0.00022125549120173433,-0.003837167581525,-0.0024473350370129,0.0,0.0,True
objw05_ntb005_floor_hardmin,0,0,0,6.577593106470065e-05,-0.0003294046755619667,-0.003837167581525,-0.0026491297077532,0.0,0.2,True
objw05_ntb010_floor,3,3,0,0.00013462752919603452,-3.915620530826541e-05,-0.0076646489524239,-0.0044447039940086,0.0,0.0,False
objw05_ntb010_floor30,3,3,0,0.00016546803865800117,-0.0004237237336494823,-0.0076646489524239,-0.0051537363104686,0.0,0.0,False
objw05_ntb010_floor35,3,3,0,0.00016546803865800117,-0.0004539787204917727,-0.0076646489524239,-0.005309723196417,0.0,0.0,False
objw05_ntb010_floor_hardmin,3,3,0,0.00016546803865800117,-0.0006694482121821125,-0.0076646489524239,-0.0052923210135135,0.0,0.2,False
objw05_ntb005,20,0,20,-0.00013636605393750002,-2.0678044890904166e-05,-0.0018143670444547,-0.001844081290821,0.0,0.0,False
baseline_ntb005,48,24,24,7.791970671103335e-05,-0.005511525002647767,,,0.0,0.0,False
