candidate,breaches_2020_2026,breaches_2015_2019,mean_test_relative_2020_2026,mean_test_relative_2015_2019,min_robust_min_p05_2020_2026,min_robust_min_p05_2015_2019,max_dead_fold_fraction_2020_2026,max_dead_fold_fraction_2015_2019,breaches_total,promo_pass,delta_2015_vs_promoted,delta_2020_vs_promoted
objw05_ntb005_floor_t15_p3,0,0,6.577593106470065e-05,-0.0001179298894605166,-0.003837167581525,-0.0022287322616834,0.0,0.0,0,True,0.0,0.0
objw05_ntb005_floor_t15_p3_pen30,0,0,6.577593106470065e-05,-0.0001179298894605166,-0.003837167581525,-0.0022287322616834,0.0,0.0,0,True,0.0,0.0
objw05_ntb005_floor_t15_p3_pen34,0,0,2.693932823772526e-05,-0.00012611172271919998,-0.0037413300431199,-0.0020787701838638,0.0,0.0,0,True,-8.181833258683388e-06,-3.8836602826975396e-05
objw05_ntb005_floor_t15_p3_pen26,0,0,6.577593106470065e-05,-0.000144645930110644,-0.003837167581525,-0.0023948517068958,0.0,0.0,0,True,-2.6716040650127395e-05,0.0
