split,seed,fold,phase,train_end_idx,val_start_idx,val_end_idx,test_start_idx,test_end_idx,n_test_samples,validation_relative_total_return,policy_total_return,policy_relative_total_return,static_hold_total_return,delta_total_return_vs_static_hold,mean_spy_weight,mean_turnover,test_worst_daily_relative_return,test_max_relative_drawdown,active,signal_scale,signal_scale_state_slope,signal_bias,validation_signal_abs_p95,validation_proposed_step_p95,validation_proposed_steps_over_band,validation_gate_suppressed_step_count,validation_gate_suppression_rate,test_signal_abs_p95,test_proposed_step_p95,test_proposed_steps_over_band,test_executed_step_count,test_gate_suppressed_step_count,test_gate_suppression_rate
chrono,5,fold_01,test,1628,1629,2326,2327,2791,465,0.0034405883480059796,0.23187794296348363,0.002852449591566053,0.2283740678553392,0.0035038751081444275,1.0184034946217577,4.8730705093422894e-05,-0.0009004178854928879,0.0022691302458143214,1,0.2,0.0,0.10088934339095891,0.14065800754852312,0.014747162322063174,0,694,0.9962996882306536,0.14666278591187712,0.015895795839237854,0,464,462,0.9956357001595602
chrono,5,fold_02,test,2093,2094,2791,2792,3256,465,0.0046192317719808695,0.2708680399714769,0.0007166228501120919,0.2699579590793191,0.0009100808921578274,1.014772805054725,0.00015790363963842118,-0.0022793978543849125,0.008100455801552497,1,0.2,0.0,0.0892105935028732,0.13375974096524434,0.01403138758760498,0,695,0.9964464604331655,0.15885896225242693,0.02307656243692066,0,464,460,0.9919840895727505
chrono,5,fold_03,test,2558,2559,3256,3257,3721,465,9.496317754287276e-05,0.2726162255325817,-1.0138746131538312e-05,0.2726291283962341,-1.290286365240867e-05,1.00034862803927,1.5833069486059423e-06,-2.5937075775361862e-05,0.00015932312819300076,1,0.013333333333333336,0.0,0.1095253800040804,0.16178596716710042,0.0017066372622569048,0,696,0.9985360438587711,0.18717390515190072,0.0018014678822262922,0,464,463,0.9985195028952648
chrono,5,fold_04,test,3023,3024,3721,3722,4186,465,6.919743494804287e-05,0.34452565020078185,0.0001733849962626266,0.34429257003854996,0.0002330801622318912,1.000416800419653,1.5790704728818306e-06,-1.1409582976407151e-05,5.54278160229682e-05,1,0.013333333333333336,0.0,0.11162353350745167,0.18934744233794948,0.0018314001539764912,0,696,0.9985431066879245,0.19206650517551613,0.0020744560437292885,0,464,463,0.9985219962295941
chrono,5,fold_05,test,3488,3489,4186,4187,4651,465,0.004980632403918994,0.3673675771567926,0.003801573360711963,0.36218911530380193,0.005178461852990646,1.012671805126473,3.55648260320695e-05,-0.0008196276870011676,0.0026953357610618456,1,0.14666666666666667,0.0,0.13420595721889,0.21872896397527034,0.015841733737232962,0,694,0.9960489486911791,0.1659314437458721,0.015009957213749878,0,464,462,0.9963035365928163
