split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.277419,0.344293,0.007149,-0.049746,0.0,-0.250796,0.155813,0.0,0.993548,0.844187,1.0,0.012204,0.0,0.004301,71.0,1.0,0.0,-0.066873,0.270271,-0.049746,0.20105,0.155813,-0.837736,-0.155813,0.012204,0.007903,70.0
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.41298,0.42204,0.0,-0.006371,0.0,-0.296785,0.137771,0.0,1.0,0.862229,1.0,0.009456,0.0,0.0,84.0,1.0,0.0,-0.00906,0.41298,-0.006371,0.290414,0.137771,-0.862229,-0.137771,0.009456,0.009456,83.0
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.292465,0.362189,-0.018816,-0.051186,0.0,-0.279701,0.132095,0.0,0.997849,0.867905,1.0,0.016671,0.0,0.004301,100.0,1.0,0.0,-0.069724,0.311281,-0.051186,0.228515,0.132095,-0.865754,-0.132095,0.016671,0.01237,99.0
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.245743,0.23565,0.007149,0.008168,0.0,-0.184924,0.116618,0.0,0.995702,0.883382,1.0,0.018122,0.0,0.002865,163.0,1.0,0.0,0.010093,0.238594,0.008168,0.193092,0.116618,-0.879084,-0.116618,0.018122,0.015257,162.0
regime,7,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.066753,0.052584,0.0,0.01346,0.0,-0.049957,0.146656,0.0,1.0,0.853344,1.0,0.025758,0.0,0.0,103.0,1.0,0.0,0.014168,0.066753,0.01346,0.063418,0.146656,-0.853344,-0.146656,0.025758,0.025758,102.0
regime,7,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.699073,0.796711,0.0,-0.054342,0.0,-0.443427,0.131799,0.0,1.0,0.868201,1.0,0.014247,0.0,0.0,153.0,1.0,0.0,-0.097637,0.699073,-0.054342,0.389085,0.131799,-0.868201,-0.131799,0.014247,0.014247,152.0
regime,7,fold_02,test,2023-08-22 00:00:00,2024-12-16 00:00:00,0.339297,0.404754,0.007149,-0.046597,0.0,-0.283043,0.128948,0.0,0.990991,0.871052,1.0,0.009738,0.0,0.006006,45.0,1.0,0.0,-0.065457,0.332148,-0.046597,0.236446,0.128948,-0.862043,-0.128948,0.009738,0.003732,44.0
regime,7,fold_02,validation,2020-04-30 00:00:00,2023-08-21 00:00:00,0.520776,0.574403,0.0,-0.034062,0.0,-0.364839,0.129171,0.0,1.0,0.870829,1.0,0.013262,0.0,0.0,160.0,1.0,0.0,-0.053627,0.520776,-0.034062,0.330777,0.129171,-0.870829,-0.129171,0.013262,0.013262,159.0
regime,7,fold_03,test,2024-12-17 00:00:00,2026-04-17 00:00:00,0.155704,0.191296,-0.018816,-0.029877,0.0,-0.176372,0.119608,0.0,0.996997,0.880392,1.0,0.01435,0.0,0.006006,65.0,1.0,0.0,-0.035592,0.17452,-0.029877,0.146496,0.119608,-0.877389,-0.119608,0.01435,0.008344,64.0
regime,7,fold_03,validation,2021-08-25 00:00:00,2024-12-16 00:00:00,0.376478,0.420097,0.007149,-0.030715,0.0,-0.290789,0.122812,0.0,0.996399,0.877188,1.0,0.009718,0.0,0.002401,109.0,1.0,0.0,-0.043619,0.36933,-0.030715,0.260073,0.122812,-0.873587,-0.122812,0.009718,0.007317,108.0
