variant,path_bootstrap_reps,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative
v25s_pA,300,18,4,0.2222222222222222,-0.0005936441828657546,0.0007302637495465373,0.005251300621383015
v25s_nA,300,18,4,0.2222222222222222,-0.0006053060397810291,0.0006798034000357815,0.005195955420592614
v25s_n8,300,18,4,0.2222222222222222,-0.000605308125175558,0.0006798004372553531,0.005195956249227418
v25s_pA,1200,18,0,0.0,0.0006958099869729889,0.0010237437714673747,0.005251300621383015
v25s_nA,1200,18,0,0.0,0.0005905048595607363,0.0009823351003142365,0.005195955420592614
v25s_n8,1200,18,0,0.0,0.0005905015624432068,0.000982332252875493,0.005195956249227418
