candidate,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative,mean_validation_relative,mean_turnover,mean_executed_steps,mean_gate_suppression,seed_return_range,activity_violations,cost35_breach_count,cost35_min_slack
sc3d_m20_p2010_s2941,24,0,0.0,0.007,0.00771064499771378,0.009666070817642616,0.011047261404769656,0.00014161376033395746,1.409722222222222,0.9969618055555555,0.0013659716320403425,7,0,0.007
sc3d_m20_p2000_s2941,24,0,0.0,0.007,0.012109747649370131,0.016634681711631377,0.011273964801815481,9.401678080563554e-05,0.9375,0.9979795258620688,0.0020610035918029266,24,0,0.007
sc3d_m20_p1990_s2941,24,0,0.0,0.007,0.007,0.007177219918445545,0.011216740852533736,4.394068240439404e-05,0.4375,0.9990571120689656,0.0020506342624130123,24,0,0.007
