variant,reps,group,scenario,seed,transaction_cost_bps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v28d_sig02,200,curated,baseline_b20_s4242,5,18.0,-0.004397130233356783,0.0026028697666432175,False,0.006323462816354741
v28d_sig02,200,curated,baseline_b20_s4242,5,22.0,-0.005070063768096461,0.001929936231903539,False,0.006079300810590382
v28d_sig02,200,curated,baseline_b20_s4242,5,25.0,-0.005210385931023158,0.0017896140689768417,False,0.005896244043710386
v28d_sig02,200,curated,baseline_b20_s4242,17,18.0,-0.0030030048797044183,0.003996995120295582,False,0.006323462816354741
v28d_sig02,200,curated,baseline_b20_s4242,17,22.0,-0.0034606270416072614,0.0035393729583927387,False,0.006079300810590382
v28d_sig02,200,curated,baseline_b20_s4242,17,25.0,-0.00386245378372147,0.00313754621627853,False,0.005896244043710386
v28d_sig02,200,curated,baseline_b20_s4242,29,18.0,-0.0035380080724662527,0.0034619919275337475,False,0.006323462816354741
v28d_sig02,200,curated,baseline_b20_s4242,29,22.0,-0.004213780179285042,0.002786219820714958,False,0.006079300810590382
v28d_sig02,200,curated,baseline_b20_s4242,29,25.0,-0.004720319457868605,0.0022796805421313954,False,0.005896244043710386
v28d_sig02,200,curated,altseed_b20_s5252,5,18.0,-0.003424209775041953,0.003575790224958047,False,0.006323462816354741
v28d_sig02,200,curated,altseed_b20_s5252,5,22.0,-0.0035742405468255243,0.003425759453174476,False,0.006079300810590382
v28d_sig02,200,curated,altseed_b20_s5252,5,25.0,-0.0038315232294497737,0.0031684767705502264,False,0.005896244043710386
v28d_sig02,200,curated,altseed_b20_s5252,17,18.0,-0.0041403317227716565,0.0028596682772283437,False,0.006323462816354741
v28d_sig02,200,curated,altseed_b20_s5252,17,22.0,-0.004396302360704601,0.002603697639295399,False,0.006079300810590382
v28d_sig02,200,curated,altseed_b20_s5252,17,25.0,-0.004541963314640995,0.002458036685359005,False,0.005896244043710386
v28d_sig02,200,curated,altseed_b20_s5252,29,18.0,-0.005035695199480294,0.001964304800519706,False,0.006323462816354741
v28d_sig02,200,curated,altseed_b20_s5252,29,22.0,-0.00548347137757319,0.0015165286224268102,False,0.006079300810590382
v28d_sig02,200,curated,altseed_b20_s5252,29,25.0,-0.005660918305932894,0.0013390816940671065,False,0.005896244043710386
v28d_sig02,200,curated,altblock_b16_s4242,5,18.0,-0.006686383125562889,0.00031361687443711133,False,0.006323462816354741
v28d_sig02,200,curated,altblock_b16_s4242,5,22.0,-0.007282293806084578,-0.00028229380608457786,True,0.006079300810590382
v28d_sig02,200,curated,altblock_b16_s4242,5,25.0,-0.007518683129236037,-0.0005186831292360366,True,0.005896244043710386
v28d_sig02,200,curated,altblock_b16_s4242,17,18.0,-0.00515224770294062,0.00184775229705938,False,0.006323462816354741
v28d_sig02,200,curated,altblock_b16_s4242,17,22.0,-0.0058220724080807465,0.0011779275919192537,False,0.006079300810590382
v28d_sig02,200,curated,altblock_b16_s4242,17,25.0,-0.006324154116278213,0.0006758458837217872,False,0.005896244043710386
v28d_sig02,200,curated,altblock_b16_s4242,29,18.0,-0.0045621825839157575,0.0024378174160842427,False,0.006323462816354741
v28d_sig02,200,curated,altblock_b16_s4242,29,22.0,-0.004815431998452318,0.0021845680015476826,False,0.006079300810590382
v28d_sig02,200,curated,altblock_b16_s4242,29,25.0,-0.005215867134336587,0.0017841328656634133,False,0.005896244043710386
v28d_sig02,200,curated,altblock_b24_s4242,5,18.0,-0.0027582949826331247,0.004241705017366875,False,0.006323462816354741
v28d_sig02,200,curated,altblock_b24_s4242,5,22.0,-0.0027989182720209505,0.004201081727979049,False,0.006079300810590382
v28d_sig02,200,curated,altblock_b24_s4242,5,25.0,-0.003059250920477768,0.003940749079522232,False,0.005896244043710386
v28d_sig02,200,curated,altblock_b24_s4242,17,18.0,-0.002486577351394725,0.004513422648605275,False,0.006323462816354741
v28d_sig02,200,curated,altblock_b24_s4242,17,22.0,-0.0027467490826877214,0.004253250917312278,False,0.006079300810590382
v28d_sig02,200,curated,altblock_b24_s4242,17,25.0,-0.0030257649685167696,0.0039742350314832305,False,0.005896244043710386
v28d_sig02,200,curated,altblock_b24_s4242,29,18.0,-0.0023561962828464672,0.004643803717153533,False,0.006323462816354741
v28d_sig02,200,curated,altblock_b24_s4242,29,22.0,-0.0030353079586184772,0.003964692041381523,False,0.006079300810590382
v28d_sig02,200,curated,altblock_b24_s4242,29,25.0,-0.0033498154194745383,0.003650184580525462,False,0.005896244043710386
v28d_sig02,200,curated,altboth_b24_s6060,5,18.0,-0.0028148687940665602,0.00418513120593344,False,0.006323462816354741
v28d_sig02,200,curated,altboth_b24_s6060,5,22.0,-0.0031225714285526784,0.003877428571447322,False,0.006079300810590382
v28d_sig02,200,curated,altboth_b24_s6060,5,25.0,-0.0033079290837993544,0.0036920709162006457,False,0.005896244043710386
v28d_sig02,200,curated,altboth_b24_s6060,17,18.0,-0.002574806908158594,0.004425193091841406,False,0.006323462816354741
