variant,scenario,mean_test_relative,worst_robust_min,mean_turnover,mean_executed_step_rate,mean_path,min_case_path,mean_path_slack,min_case_slack,pass_non_path,pass_case_floor
v25i_asym_t1,altblock_b16_s4242,0.0043641365086569016,0.0012293040729574045,0.0006544001347705054,0.022967741935483874,-0.009668141254127304,-0.01111631769835691,-0.002668141254127304,-0.004116317698356909,True,False
v25i_asym_t1,baseline_b20_s4242,0.0043641365086569016,0.0012293040729574045,0.0006544001347705054,0.022967741935483874,-0.007677798503869854,-0.008354423741261602,-0.0006777985038698541,-0.001354423741261602,True,False
v25i_asym_t1,deepcheck_b12_s8080,0.0043641365086569016,0.0012293040729574045,0.0006544001347705054,0.022967741935483874,-0.008514401876614149,-0.009433283192121522,-0.0015144018766141487,-0.0024332831921215223,True,False
v25i_asym_t2,altblock_b16_s4242,0.0032484563669984644,0.0,0.0005305000498825213,0.018494623655913978,-0.007916707830784492,-0.008837965428117421,-0.0009167078307844917,-0.0018379654281174213,False,False
v25i_asym_t2,baseline_b20_s4242,0.0032484563669984644,0.0,0.0005305000498825213,0.018494623655913978,-0.0066702083964005916,-0.0076622885780915865,0.0003297916035994086,-0.0006622885780915863,False,False
v25i_asym_t2,deepcheck_b12_s8080,0.0032484563669984644,0.0,0.0005305000498825213,0.018494623655913978,-0.007607555729349273,-0.009187288767238982,-0.0006075557293492729,-0.0021872887672389823,False,False
v25i_bal_1,altblock_b16_s4242,0.004631376076433699,0.0022318521761208743,0.0009361649867498762,0.02933333333333333,-0.008977937474870584,-0.011615387207087153,-0.0019779374748705838,-0.004615387207087152,True,False
v25i_bal_1,baseline_b20_s4242,0.004631376076433699,0.0022318521761208743,0.0009361649867498762,0.02933333333333333,-0.007346087457011871,-0.01015030004213004,-0.0003460874570118712,-0.00315030004213004,True,False
v25i_bal_1,deepcheck_b12_s8080,0.004631376076433699,0.0022318521761208743,0.0009361649867498762,0.02933333333333333,-0.008923130356817077,-0.011529906317558819,-0.001923130356817077,-0.004529906317558819,True,False
v25i_bal_2,altblock_b16_s4242,0.004611494117132722,0.0022323868210774034,0.0009347752809870222,0.029247311827956986,-0.00891032625315037,-0.011593357516674684,-0.00191032625315037,-0.004593357516674684,True,False
v25i_bal_2,baseline_b20_s4242,0.004611494117132722,0.0022323868210774034,0.0009347752809870222,0.029247311827956986,-0.00731291289804149,-0.01009111488012585,-0.0003129128980414895,-0.0030911148801258505,True,False
v25i_bal_2,deepcheck_b12_s8080,0.004611494117132722,0.0022323868210774034,0.0009347752809870222,0.029247311827956986,-0.008868439596996857,-0.011440847218698591,-0.0018684395969968568,-0.004440847218698591,True,False
v25i_ref,altblock_b16_s4242,0.0060558043676903145,0.0032793641792554507,0.0006433278668192536,0.022709677419354847,-0.006402015472654425,-0.007839169345085772,0.0005979845273455754,-0.0008391693450857723,True,False
v25i_ref,baseline_b20_s4242,0.0060558043676903145,0.0032793641792554507,0.0006433278668192536,0.022709677419354847,-0.004915393640912361,-0.006121767648836246,0.002084606359087639,0.000878232351163754,True,True
v25i_ref,deepcheck_b12_s8080,0.0060558043676903145,0.0032793641792554507,0.0006433278668192536,0.022709677419354847,-0.006037889709340158,-0.007972679399081129,0.0009621102906598421,-0.000972679399081129,True,False
v25i_tight_1,altblock_b16_s4242,0.004600130400417939,0.00222839685206222,0.0010116448566409922,0.031569892473118276,-0.009758744259884352,-0.012017881970818812,-0.0027587442598843515,-0.005017881970818812,True,False
v25i_tight_1,baseline_b20_s4242,0.004600130400417939,0.00222839685206222,0.0010116448566409922,0.031569892473118276,-0.008241639541491656,-0.010170692599883352,-0.0012416395414916554,-0.0031706925998833515,True,False
v25i_tight_1,deepcheck_b12_s8080,0.004600130400417939,0.00222839685206222,0.0010116448566409922,0.031569892473118276,-0.009583565971142948,-0.011112245317269847,-0.0025835659711429476,-0.004112245317269847,True,False
v25i_tight_2,altblock_b16_s4242,0.0034342282401456795,0.0,0.0006456757395117924,0.022709677419354844,-0.009613971103793166,-0.011116309797681,-0.0026139711037931656,-0.0041163097976810005,True,False
v25i_tight_2,baseline_b20_s4242,0.0034342282401456795,0.0,0.0006456757395117924,0.022709677419354844,-0.007633247932634704,-0.008317179663839307,-0.0006332479326347038,-0.0013171796638393072,True,False
v25i_tight_2,deepcheck_b12_s8080,0.0034342282401456795,0.0,0.0006456757395117924,0.022709677419354844,-0.008479125636066447,-0.009391443412673384,-0.0014791256360664464,-0.0023914434126733842,True,False
v25i_tight_3,altblock_b16_s4242,0.002625776858726794,-0.00434268237785751,0.00037929312614714536,0.012817204301075273,-0.010320978598268133,-0.01101702325762094,-0.0033209785982681326,-0.004017023257620939,False,False
v25i_tight_3,baseline_b20_s4242,0.002625776858726794,-0.00434268237785751,0.00037929312614714536,0.012817204301075273,-0.01065606419900816,-0.011469324037761231,-0.0036560641990081603,-0.004469324037761231,False,False
v25i_tight_3,deepcheck_b12_s8080,0.002625776858726794,-0.00434268237785751,0.00037929312614714536,0.012817204301075273,-0.010130580527827669,-0.010602554073074455,-0.0031305805278276687,-0.0036025540730744545,False,False
v25i_tight_4,altblock_b16_s4242,0.0027603031347409163,-0.0055526215466354945,0.000347345467402401,0.012043010752688176,-0.012955512490379675,-0.013570453781604375,-0.005955512490379675,-0.0065704537816043745,False,False
v25i_tight_4,baseline_b20_s4242,0.0027603031347409163,-0.0055526215466354945,0.000347345467402401,0.012043010752688176,-0.013355895564406388,-0.013921331866670578,-0.006355895564406387,-0.0069213318666705775,False,False
v25i_tight_4,deepcheck_b12_s8080,0.0027603031347409163,-0.0055526215466354945,0.000347345467402401,0.012043010752688176,-0.012723181030203952,-0.013510723811268093,-0.005723181030203952,-0.006510723811268093,False,False
