variant,scenario,rows,pass_non_path,pass_case_floor,min_case_path,mean_path,min_case_slack,mean_case_slack,mean_test_relative,mean_turnover,mean_executed_step_rate
v25n_a,altblock_b16_s4242,30,True,True,-0.006712093468095509,-0.005368486261165406,0.00028790653190449104,0.0016315137388345944,0.0054051670063269604,0.0006714762540477562,0.02408602150537634
v25n_a,baseline_b20_s4242,20,True,True,-0.006068001540387924,-0.004771515458651515,0.0009319984596120766,0.0022284845413484853,0.005290087542365462,0.0006714762540477563,0.024086021505376348
v25n_a,deepcheck_b12_s8080,30,True,True,-0.0068438691129404814,-0.005691978050024306,0.0001561308870595187,0.001308021949975694,0.0054051670063269604,0.0006714762540477562,0.02408602150537634
v25n_a,stress_b14_s7070,30,True,True,-0.006431647559384334,-0.005340989698438622,0.0005683524406156657,0.0016590103015613781,0.0054051670063269604,0.0006714762540477562,0.02408602150537634
v25n_a,stress_b30_s10010,20,True,True,-0.003951504731369793,-0.0032867500935565433,0.0030484952686302075,0.003713249906443457,0.005290087542365462,0.0006714762540477563,0.024086021505376348
v25n_b,altblock_b16_s4242,30,True,True,-0.006712101920088004,-0.0053684942548331855,0.00028789807991199626,0.0016315057451668146,0.005405168788183712,0.0006714766500265856,0.02408602150537634
v25n_b,baseline_b20_s4242,20,True,True,-0.006068011416231073,-0.004771519935666256,0.0009319885837689272,0.0022284800643337438,0.005290089255684684,0.0006714766500265856,0.024086021505376348
v25n_b,deepcheck_b12_s8080,30,True,True,-0.006843879404507497,-0.005691982357101983,0.00015612059549250344,0.0013080176428980168,0.005405168788183712,0.0006714766500265856,0.02408602150537634
v25n_b,stress_b14_s7070,30,True,True,-0.006431658459594907,-0.0053409946422811935,0.0005683415404050931,0.0016590053577188067,0.005405168788183712,0.0006714766500265856,0.02408602150537634
v25n_b,stress_b30_s10010,20,True,True,-0.003951512755361058,-0.0032867532783603564,0.003048487244638942,0.0037132467216396438,0.005290089255684684,0.0006714766500265856,0.024086021505376348
v25n_ref_n8,altblock_b16_s4242,30,True,True,-0.006712097694089819,-0.005368490257998378,0.00028790230591018134,0.0016315097420016222,0.005405167897253717,0.0006714764520370679,0.02408602150537634
v25n_ref_n8,baseline_b20_s4242,20,True,True,-0.006068006478306237,-0.004771517697158731,0.0009319935216937627,0.002228482302841269,0.005290088399023696,0.0006714764520370679,0.024086021505376348
v25n_ref_n8,deepcheck_b12_s8080,30,True,True,-0.006843874258722465,-0.005691980203562983,0.00015612574127753503,0.0013080197964370176,0.005405167897253717,0.0006714764520370679,0.02408602150537634
v25n_ref_n8,stress_b14_s7070,30,True,True,-0.0064316530094890405,-0.005340992170360309,0.0005683469905109597,0.0016590078296396908,0.005405167897253717,0.0006714764520370679,0.02408602150537634
v25n_ref_n8,stress_b30_s10010,20,True,True,-0.003951508743364495,-0.0032867516859585175,0.003048491256635505,0.0037132483140414826,0.005290088399023696,0.0006714764520370679,0.024086021505376348
