variant,pack,group,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown
v25y_pA,pack1,curated,altblock_b16_s4242,5,18,600,-0.005199655102938705,0.0018003448970612948,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,altblock_b16_s4242,5,22,600,-0.005541486031692466,0.0014585139683075338,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,altblock_b16_s4242,5,25,600,-0.005831533787465237,0.0011684662125347632,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,altblock_b16_s4242,17,18,600,-0.004708854745208851,0.0022911452547911488,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,altblock_b16_s4242,17,22,600,-0.005247678258577937,0.001752321741422063,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,altblock_b16_s4242,17,25,600,-0.005451677591677534,0.0015483224083224665,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,altblock_b16_s4242,29,18,600,-0.005373093310793986,0.0016269066892060143,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,altblock_b16_s4242,29,22,600,-0.00607682813044762,0.0009231718695523802,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,altblock_b16_s4242,29,25,600,-0.006314845586432532,0.0006851544135674679,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,altblock_b24_s4242,5,18,600,-0.003586017106242939,0.0034139828937570613,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,altblock_b24_s4242,5,22,600,-0.0037620758575167223,0.003237924142483278,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,altblock_b24_s4242,5,25,600,-0.0038593235481621745,0.0031406764518378256,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,altblock_b24_s4242,17,18,600,-0.0033183702667748337,0.0036816297332251664,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,altblock_b24_s4242,17,22,600,-0.0035881992365820402,0.00341180076341796,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,altblock_b24_s4242,17,25,600,-0.003868404203785691,0.003131595796214309,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,altblock_b24_s4242,29,18,600,-0.003223671968459002,0.0037763280315409983,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,altblock_b24_s4242,29,22,600,-0.003429162415545733,0.003570837584454267,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,altblock_b24_s4242,29,25,600,-0.0037973768332455913,0.003202623166754409,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,altboth_b24_s6060,5,18,600,-0.003580929769627722,0.0034190702303722783,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,altboth_b24_s6060,5,22,600,-0.004028962057263563,0.002971037942736437,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,altboth_b24_s6060,5,25,600,-0.004362695154087215,0.002637304845912785,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,altboth_b24_s6060,17,18,600,-0.0033402845632950593,0.003659715436704941,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,altboth_b24_s6060,17,22,600,-0.003646156575282966,0.003353843424717034,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,altboth_b24_s6060,17,25,600,-0.003825262349614006,0.003174737650385994,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,altboth_b24_s6060,29,18,600,-0.004516922721175048,0.002483077278824952,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,altboth_b24_s6060,29,22,600,-0.0050011938912539015,0.0019988061087460986,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
