variant,scenario_group,rows,all_non_path,all_case_floor,min_case_slack,mean_case_slack,mean_test_relative,mean_turnover,mean_executed_step_rate,breach_count
v25o_n8,random_shortblock,72,True,False,-0.00028116319813575354,0.0015148749402213108,0.005405167897253715,0.0006714764520370678,0.02408602150537634,1
v25o_n8,sentinel,24,True,True,0.0009319935216937627,0.0030184853464903533,0.005290088399023695,0.0006714764520370678,0.024086021505376348,0
v25o_nA,random_shortblock,72,True,False,-0.00028116143195490786,0.001514878181170608,0.00540516700632696,0.0006714762540477565,0.02408602150537634,1
v25o_nA,sentinel,24,True,True,0.0009319984596120766,0.003018487973201837,0.005290087542365463,0.0006714762540477563,0.024086021505376348,0
v25o_ref,random_shortblock,72,True,False,-0.002008366089310998,7.186667805694161e-05,0.004733711988906212,0.0006214607614865512,0.022365591397849462,30
v25o_ref,sentinel,24,True,True,0.00034563986187862144,0.0016232417588520074,0.0046270937610126016,0.0006214607614865512,0.022365591397849462,0
