variant,scenario,mean_test_relative,worst_robust_min,mean_turnover,mean_executed_step_rate,mean_path,min_case_path,mean_path_slack,min_case_slack,pass_non_path,pass_case_floor
v25k_n8,altblock_b16_s4242,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.005444079375403429,-0.006467675641166903,0.0015559206245965712,0.0005323243588330967,True,True
v25k_n8,altblock_b24_s4242,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.003254192755270444,-0.004331708687348245,0.003745807244729556,0.002668291312651755,True,True
v25k_n8,altboth_b24_s6060,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.0038704518881833294,-0.005651264284040736,0.0031295481118166707,0.0013487357159592643,True,True
v25k_n8,altseed_b20_s5252,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.0043108646557949,-0.005667298428069889,0.0026891353442051,0.0013327015719301113,True,True
v25k_n8,baseline_b20_s4242,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.004142967472512466,-0.005110057539455087,0.0028570325274875344,0.0018899424605449133,True,True
v25k_n8,deepcheck_b12_s8080,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.005070322509160819,-0.005917678788437924,0.0019296774908391812,0.0010823212115620758,True,True
v25k_n8,deepcheck_b28_s9090,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.003351314172420386,-0.004143645613751296,0.0036486858275796142,0.002856354386248704,True,True
v25k_n9,altblock_b16_s4242,0.004917846413203027,0.0010604343593318966,0.0006207055518506028,0.022365591397849455,-0.006389279267902339,-0.0074239736877554415,0.0006107207320976615,-0.00042397368775544137,True,False
v25k_n9,altblock_b24_s4242,0.004917846413203027,0.0010604343593318966,0.0006207055518506028,0.022365591397849455,-0.004828517772763289,-0.005473476311469249,0.002171482227236711,0.0015265236885307508,True,True
v25k_n9,altboth_b24_s6060,0.004917846413203027,0.0010604343593318966,0.0006207055518506028,0.022365591397849455,-0.005046102981436043,-0.005916704823758695,0.0019538970185639572,0.0010832951762413051,True,True
v25k_n9,altseed_b20_s5252,0.004917846413203027,0.0010604343593318966,0.0006207055518506028,0.022365591397849455,-0.005723576673244043,-0.006511217718236389,0.001276423326755957,0.0004887822817636108,True,True
v25k_n9,baseline_b20_s4242,0.004917846413203027,0.0010604343593318966,0.0006207055518506028,0.022365591397849455,-0.005334266386491313,-0.0059990711209899515,0.0016657336135086874,0.0010009288790100487,True,True
v25k_n9,deepcheck_b12_s8080,0.004917846413203027,0.0010604343593318966,0.0006207055518506028,0.022365591397849455,-0.0065835036951686675,-0.007552250825923423,0.0004164963048313326,-0.0005522508259234232,True,False
v25k_n9,deepcheck_b28_s9090,0.004917846413203027,0.0010604343593318966,0.0006207055518506028,0.022365591397849455,-0.005243287148325903,-0.005900925347748836,0.0017567128516740972,0.001099074652251164,True,True
v25k_ref,altblock_b16_s4242,0.004923742722899806,0.0010583237744554719,0.0006214607614865514,0.022365591397849455,-0.006402048420209133,-0.007443567285361785,0.0005979515797908674,-0.00044356728536178516,True,False
v25k_ref,altblock_b24_s4242,0.004923742722899806,0.0010583237744554719,0.0006214607614865514,0.022365591397849455,-0.004838486473557237,-0.005484443247701231,0.002161513526442763,0.0015155567522987688,True,True
v25k_ref,altboth_b24_s6060,0.004923742722899806,0.0010583237744554719,0.0006214607614865514,0.022365591397849455,-0.00505754100781266,-0.00593009542640433,0.0019424589921873403,0.00106990457359567,True,True
v25k_ref,altseed_b20_s5252,0.004923742722899806,0.0010583237744554719,0.0006214607614865514,0.022365591397849455,-0.005734800313994546,-0.006520644545049486,0.0012651996860054545,0.0004793554549505138,True,True
v25k_ref,baseline_b20_s4242,0.004923742722899806,0.0010583237744554719,0.0006214607614865514,0.022365591397849455,-0.005344100536374182,-0.006008372778173676,0.001655899463625818,0.000991627221826324,True,True
v25k_ref,deepcheck_b12_s8080,0.004923742722899806,0.0010583237744554719,0.0006214607614865514,0.022365591397849455,-0.0065980343342892924,-0.007564866650291302,0.0004019656657107077,-0.0005648666502913015,True,False
v25k_ref,deepcheck_b28_s9090,0.004923742722899806,0.0010583237744554719,0.0006214607614865514,0.022365591397849455,-0.005255127667749025,-0.005914568956015148,0.0017448723322509747,0.0010854310439848518,True,True
