variant,tail_rows,tail_breach_count,tail_breach_rate,tail_min_case_slack,tail_mean_case_slack,tail_mean_test_relative,sentinel_non_path_ok,sentinel_mean_turnover,sentinel_mean_executed_step_rate
v25r_pA,72,2,0.027777777777777776,-0.0005936441828657546,0.001366213623382793,0.005251300621383015,True,0.0006707529060632234,0.02408602150537634
v25r_nA,72,2,0.027777777777777776,-0.0006053060397810291,0.0013178323945150974,0.005195955420592612,True,0.0006714762540477565,0.02408602150537634
v25r_n8,72,2,0.027777777777777776,-0.000605308125175558,0.001317829315011466,0.005195956249227418,True,0.0006714764520370678,0.02408602150537634
