variant,scenario,scenario_group,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25o_n8,rand_b10_p10706,random_shortblock,10,10706,5,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.0055661189522173355
v25o_n8,rand_b10_p10706,random_shortblock,10,10706,11,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.006158465646443317
v25o_n8,rand_b10_p10706,random_shortblock,10,10706,17,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.00389355364202788
v25o_n8,rand_b10_p10706,random_shortblock,10,10706,29,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.006220052454403651
v25o_n8,rand_b10_p10706,random_shortblock,10,10706,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005891443891378906
v25o_n8,rand_b10_p10706,random_shortblock,10,10706,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.006707544231353113
v25o_n8,rand_b10_p10706,random_shortblock,10,10706,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.00435032868821682
v25o_n8,rand_b10_p10706,random_shortblock,10,10706,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.006570184408631835
v25o_n8,rand_b10_p10706,random_shortblock,10,10706,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006070939975247519
v25o_n8,rand_b10_p10706,random_shortblock,10,10706,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006938736258814732
v25o_n8,rand_b10_p10706,random_shortblock,10,10706,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004713177601304263
v25o_n8,rand_b10_p10706,random_shortblock,10,10706,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0067060411091972635
v25o_n8,rand_b10_p5959,random_shortblock,10,5959,5,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.004010080332242982
v25o_n8,rand_b10_p5959,random_shortblock,10,5959,11,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.005257234252030879
v25o_n8,rand_b10_p5959,random_shortblock,10,5959,17,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.005001914336141039
v25o_n8,rand_b10_p5959,random_shortblock,10,5959,29,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.004519613268721895
v25o_n8,rand_b10_p5959,random_shortblock,10,5959,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0043329852752553855
v25o_n8,rand_b10_p5959,random_shortblock,10,5959,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0057701168548191075
v25o_n8,rand_b10_p5959,random_shortblock,10,5959,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0051435325051572165
v25o_n8,rand_b10_p5959,random_shortblock,10,5959,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004698288331459688
v25o_n8,rand_b10_p5959,random_shortblock,10,5959,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004581862792177899
v25o_n8,rand_b10_p5959,random_shortblock,10,5959,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0059905471932433785
v25o_n8,rand_b10_p5959,random_shortblock,10,5959,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005340253927787275
v25o_n8,rand_b10_p5959,random_shortblock,10,5959,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0048022286587665435
v25o_n8,rand_b11_p10167,random_shortblock,11,10167,5,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.005194476244922114
v25o_n8,rand_b11_p10167,random_shortblock,11,10167,11,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.005826187421265582
