candidate,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative,mean_validation_relative,mean_turnover,mean_executed_steps,mean_gate_suppression,seed_return_range,activity_violations,cost35_breach_count,cost35_min_slack
sc3_m20_p205,24,0,0.0,0.006565191065458908,0.007508726617567477,0.010890335712669605,0.011417933958734793,0.0001502765193988694,1.4791666666666667,0.9968121408045976,0.0005286541408091872,3,0,0.006565191065458908
sc3_m20_p190,24,0,0.0,0.006568628211518267,0.006946078526439785,0.002769170886692591,0.010752239023450941,9.991121695249812e-05,1.0,0.9978448275862069,0.00017425344047123726,24,0,0.006568628211518267
sc3_m20_p210,24,0,0.0,0.007,0.007,0.00016142035940910597,0.011024244493913732,4.19488706542197e-06,0.041666666666666664,0.9999102011494253,0.00032284071881821195,24,0,0.007
sc3_m20_p195,24,0,0.0,0.007,0.007,0.0,0.011241331017413128,0.0,0.0,1.0,0.0,24,0,0.007
