candidate,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,gate_passed,mean_test_relative,mean_validation_relative,mean_turnover,mean_test_executed_step_count,mean_test_gate_suppression_rate,error
sc3_m20_p190,baseline_b20_s4242,5,30,30,0.0,0.007,False,True,0.002672828389158166,0.010933676172058093,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,baseline_b20_s4242,5,35,30,0.0,0.007,False,True,0.002626756821033416,0.010885249990574497,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,baseline_b20_s4242,5,22,30,0.0,0.007,False,True,0.002746547289179335,0.011011158062430915,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,baseline_b20_s4242,17,22,30,0.0,0.007,False,True,0.002746547289179335,0.011011158062430915,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,baseline_b20_s4242,17,30,30,0.0,0.007,False,True,0.002672828389158166,0.010933676172058093,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,altblock_b16_s4242,5,22,30,0.0,0.007,False,True,0.002746547289179335,0.011011158062430915,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,baseline_b20_s4242,17,35,30,0.0,0.007,False,True,0.002626756821033416,0.010885249990574497,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,altblock_b16_s4242,5,30,30,0.0,0.007,False,True,0.002672828389158166,0.010933676172058093,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,altblock_b16_s4242,17,35,30,0.0,0.007,False,True,0.002626756821033416,0.010885249990574497,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,altblock_b16_s4242,5,35,30,0.0,0.007,False,True,0.002626756821033416,0.010885249990574497,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,altblock_b16_s4242,17,22,30,0.0,0.007,False,True,0.002746547289179335,0.011011158062430915,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,altblock_b16_s4242,17,30,30,0.0,0.007,False,True,0.002672828389158166,0.010933676172058093,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,altseed_b20_s5252,17,22,30,0.0,0.007,False,True,0.002746547289179335,0.011011158062430915,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,altseed_b20_s5252,5,22,30,0.0,0.007,False,True,0.002746547289179335,0.011011158062430915,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,altseed_b20_s5252,5,35,30,0.0,0.007,False,True,0.002626756821033416,0.010885249990574497,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,altseed_b20_s5252,5,30,30,0.0,0.007,False,True,0.002672828389158166,0.010933676172058093,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,altseed_b20_s5252,17,30,30,0.0,0.007,False,True,0.002672828389158166,0.010933676172058093,9.983426587933536e-05,1.0,0.9978448275862069,
sc3_m20_p190,altseed_b20_s5252,17,35,30,0.0,0.007,False,True,0.002626756821033416,0.010885249990574497,9.983426587933536e-05,1.0,0.9978448275862069,
