split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.214716,0.272629,-0.045507,0.133163,0.0,0.011182,267,-0.057913,-0.030456,137,220,180,260,22,8,0,88,0,0,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,-0.007304,-0.024047,0.019936,200,57,0.335904,-0.617713,1.060434,0.872172,0.785007,0.074717,0.185695,0.500302,0.005622
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.272499,0.299071,-0.020454,0.126669,0.0,0.010993,399,-0.026571,-0.030456,137,220,180,260,22,8,0,88,0,0,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,-0.007304,-0.024047,0.019936,200,57,0.335904,-0.617713,1.060434,0.872172,0.785007,0.074717,0.185695,0.500302,0.005622
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.302514,0.344293,-0.031078,0.146921,0.0,0.009785,454,-0.041778,-0.064687,0,220,180,220,0,0,0,91,0,0,True,True,1,0,0.3,0.395,0.0,0.35,0.4,0.25,0.0,0.0,0.0,200,61,0.477211,-0.443293,0.243122,-0.329037,-0.632943,0.658405,-0.192447,0.628146,0.00034
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.365994,0.42204,-0.039413,0.157067,0.0,0.012005,687,-0.056047,-0.064687,0,220,180,220,0,0,0,91,0,0,True,True,1,0,0.3,0.395,0.0,0.35,0.4,0.25,0.0,0.0,0.0,200,61,0.477211,-0.443293,0.243122,-0.329037,-0.632943,0.658405,-0.192447,0.628146,0.00034
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.287348,0.362189,-0.054942,0.09319,0.0,0.004246,164,-0.074841,-0.030972,161,220,180,233,112,12,0,48,0,0,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,-0.010454,-0.020342,0.012538,200,196,0.5,0.024392,-0.13287,0.969466,-0.323649,1.313033,-1.2,0.583851,0.006034
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.194072,0.23565,-0.033649,0.14337,0.0,0.005059,265,-0.041578,-0.030972,161,220,180,233,112,12,0,48,0,0,False,False,1,1,0.89,0.0,0.0,0.3,0.5,0.2,-0.010454,-0.020342,0.012538,200,196,0.5,0.024392,-0.13287,0.969466,-0.323649,1.313033,-1.2,0.583851,0.006034
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.223277,0.272629,-0.03878,0.141164,0.0,0.00605,151,-0.049352,-0.027067,143,220,180,256,30,13,0,87,0,0,False,False,0,3,0.245,0.31,0.39,0.6,0.25,0.15,-0.00452,-0.025369,0.020275,200,57,0.339033,-0.470215,0.995617,-0.125572,1.192936,0.429233,0.2,0.75,0.010263
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.280156,0.299071,-0.01456,0.131025,0.0,0.005382,207,-0.018915,-0.027067,143,220,180,256,30,13,0,87,0,0,False,False,0,3,0.245,0.31,0.39,0.6,0.25,0.15,-0.00452,-0.025369,0.020275,200,57,0.339033,-0.470215,0.995617,-0.125572,1.192936,0.429233,0.2,0.75,0.010263
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.285535,0.344293,-0.043709,0.17157,0.0,0.013166,372,-0.058757,-0.068628,2,220,180,219,0,0,0,90,0,0,True,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.024759,-0.048346,0.033184,200,61,0.437077,0.035578,-0.738935,-0.554619,-0.640616,0.687167,-0.228085,0.224386,0.003593
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.316633,0.42204,-0.074124,0.177662,0.0,0.012679,546,-0.105408,-0.068628,2,220,180,219,0,0,0,90,0,0,True,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.024759,-0.048346,0.033184,200,61,0.437077,0.035578,-0.738935,-0.554619,-0.640616,0.687167,-0.228085,0.224386,0.003593
