policy_id,variant,mean_score,mean_test_relative,worst_robust_min,mean_turnover,mean_executed_step_rate,mean_path_bootstrap_robust_min_p05,activity_slack,path_slack,pass_non_path,pass_path,strict_eligible
cap001_step002,v25d_tune_c,0.007436782287433617,0.005909543034088003,0.0036449114702648,0.0005532891345220979,0.016774193548387096,-0.007872594084387263,-0.0032258064516129045,-0.0008725940843872628,False,False,False
cap001_step002,v25d_ref_tailhard01,0.004128900910854429,0.0038877639091558615,0.001260859193553454,0.000769318729804344,0.024946236559139787,-0.008441728156899673,0.004946236559139786,-0.0014417281568996727,True,False,False
cap001_step002,v25d_tune_a,0.003090710069997003,0.003434232448559387,0.0,0.000645677680076115,0.022709677419354837,-0.007633288127075564,0.002709677419354836,-0.0006332881270755637,True,False,False
cap001_step002,v25d_tune_b,0.0018613581586981562,0.003497112270553688,-0.005169097588271776,0.0007491539902251948,0.02313978494623656,-0.011607376581822525,0.003139784946236561,-0.004607376581822525,False,False,False
cap001_step002,v25d_asym_downside,0.0015810575303918462,0.002963967825633058,-0.004662488866915004,0.00047309198969533103,0.015913978494623657,-0.010972268481890538,-0.004086021505376344,-0.003972268481890538,False,False,False
cap001_step002,v25d_balance_activity,0.0013019087276957358,0.0037529036227363787,-0.0046591801422793955,0.0004974400113441974,0.01806451612903226,-0.01299219913411078,-0.0019354838709677406,-0.005992199134110779,False,False,False
cap002_step002,v25d_tune_c,0.007436782287433617,0.005909543034088003,0.0036449114702648,0.0005532891345220979,0.016774193548387096,-0.007872594084387263,-0.0032258064516129045,0.00012740591561273724,False,True,False
cap002_step002,v25d_ref_tailhard01,0.004128900910854429,0.0038877639091558615,0.001260859193553454,0.000769318729804344,0.024946236559139787,-0.008441728156899673,0.004946236559139786,-0.0004417281568996727,True,False,False
cap002_step002,v25d_tune_a,0.003090710069997003,0.003434232448559387,0.0,0.000645677680076115,0.022709677419354837,-0.007633288127075564,0.002709677419354836,0.00036671187292443633,True,True,True
cap002_step002,v25d_tune_b,0.0018613581586981562,0.003497112270553688,-0.005169097588271776,0.0007491539902251948,0.02313978494623656,-0.011607376581822525,0.003139784946236561,-0.003607376581822525,False,False,False
cap002_step002,v25d_asym_downside,0.0015810575303918462,0.002963967825633058,-0.004662488866915004,0.00047309198969533103,0.015913978494623657,-0.010972268481890538,-0.004086021505376344,-0.002972268481890538,False,False,False
cap002_step002,v25d_balance_activity,0.0013019087276957358,0.0037529036227363787,-0.0046591801422793955,0.0004974400113441974,0.01806451612903226,-0.01299219913411078,-0.0019354838709677406,-0.004992199134110779,False,False,False
cap003_step002,v25d_tune_c,0.007436782287433617,0.005909543034088003,0.0036449114702648,0.0005532891345220979,0.016774193548387096,-0.007872594084387263,-0.0032258064516129045,0.00016491405760035542,False,True,False
cap003_step002,v25d_ref_tailhard01,0.004128900910854429,0.0038877639091558615,0.001260859193553454,0.000769318729804344,0.024946236559139787,-0.008441728156899673,0.004946236559139786,-0.0004042200149120545,True,False,False
cap003_step002,v25d_tune_a,0.003090710069997003,0.003434232448559387,0.0,0.000645677680076115,0.022709677419354837,-0.007633288127075564,0.002709677419354836,0.0004042200149120545,True,True,True
cap003_step002,v25d_tune_b,0.0018613581586981562,0.003497112270553688,-0.005169097588271776,0.0007491539902251948,0.02313978494623656,-0.011607376581822525,0.003139784946236561,-0.0035698684398349067,False,False,False
cap003_step002,v25d_asym_downside,0.0015810575303918462,0.002963967825633058,-0.004662488866915004,0.00047309198969533103,0.015913978494623657,-0.010972268481890538,-0.004086021505376344,-0.00293476033990292,False,False,False
cap003_step002,v25d_balance_activity,0.0013019087276957358,0.0037529036227363787,-0.0046591801422793955,0.0004974400113441974,0.01806451612903226,-0.01299219913411078,-0.0019354838709677406,-0.004954690992123161,False,False,False
cap002_step0019,v25d_tune_c,0.007436782287433617,0.005909543034088003,0.0036449114702648,0.0005532891345220979,0.016774193548387096,-0.007872594084387263,-0.0022258064516129036,0.00012740591561273724,False,True,False
cap002_step0019,v25d_ref_tailhard01,0.004128900910854429,0.0038877639091558615,0.001260859193553454,0.000769318729804344,0.024946236559139787,-0.008441728156899673,0.005946236559139787,-0.0004417281568996727,True,False,False
cap002_step0019,v25d_tune_a,0.003090710069997003,0.003434232448559387,0.0,0.000645677680076115,0.022709677419354837,-0.007633288127075564,0.003709677419354837,0.00036671187292443633,True,True,True
cap002_step0019,v25d_tune_b,0.0018613581586981562,0.003497112270553688,-0.005169097588271776,0.0007491539902251948,0.02313978494623656,-0.011607376581822525,0.004139784946236562,-0.003607376581822525,False,False,False
cap002_step0019,v25d_asym_downside,0.0015810575303918462,0.002963967825633058,-0.004662488866915004,0.00047309198969533103,0.015913978494623657,-0.010972268481890538,-0.0030860215053763428,-0.002972268481890538,False,False,False
cap002_step0019,v25d_balance_activity,0.0013019087276957358,0.0037529036227363787,-0.0046591801422793955,0.0004974400113441974,0.01806451612903226,-0.01299219913411078,-0.0009354838709677397,-0.004992199134110779,False,False,False
