variant,scenario,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25i_ref,baseline_b20_s4242,20,4242,5,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.005187577911988511
v25i_ref,baseline_b20_s4242,20,4242,5,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.005581958958218658
v25i_ref,baseline_b20_s4242,20,4242,5,18,0.006507115351749304,0.0034008680567532146,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0062448564547221,-0.005063406512617996
v25i_ref,baseline_b20_s4242,20,4242,5,22,0.00626392456072331,0.0033314360926126607,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.006287948781112,-0.0050835427184720726
v25i_ref,baseline_b20_s4242,20,4242,5,25,0.006081594873280194,0.0032793641792554507,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0063202674247963,-0.005161495394479504
v25i_ref,baseline_b20_s4242,20,4242,17,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.005362743130448383
v25i_ref,baseline_b20_s4242,20,4242,17,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.005840501797410658
v25i_ref,baseline_b20_s4242,20,4242,17,18,0.006507115351749304,0.0034008680567532146,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0062448564547221,-0.003527748691040389
v25i_ref,baseline_b20_s4242,20,4242,17,22,0.00626392456072331,0.0033314360926126607,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.006287948781112,-0.004084281381843185
v25i_ref,baseline_b20_s4242,20,4242,17,25,0.006081594873280194,0.0032793641792554507,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0063202674247963,-0.0044949570962503575
v25i_ref,baseline_b20_s4242,20,4242,29,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.005943631509769409
v25i_ref,baseline_b20_s4242,20,4242,29,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.006121767648836246
v25i_ref,baseline_b20_s4242,20,4242,29,18,0.006507115351749304,0.0034008680567532146,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0062448564547221,-0.0036359760232794022
v25i_ref,baseline_b20_s4242,20,4242,29,22,0.00626392456072331,0.0033314360926126607,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.006287948781112,-0.004084321588809348
v25i_ref,baseline_b20_s4242,20,4242,29,25,0.006081594873280194,0.0032793641792554507,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0063202674247963,-0.004556994250221292
v25i_ref,altseed_b20_s5252,20,5252,5,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.005022263430373164
v25i_ref,altseed_b20_s5252,20,5252,5,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.005434209046749422
v25i_ref,altseed_b20_s5252,20,5252,5,18,0.006507115351749304,0.0034008680567532146,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0062448564547221,-0.0033398899935468238
v25i_ref,altseed_b20_s5252,20,5252,5,22,0.00626392456072331,0.0033314360926126607,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.006287948781112,-0.0037431108903366373
v25i_ref,altseed_b20_s5252,20,5252,5,25,0.006081594873280194,0.0032793641792554507,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0063202674247963,-0.003969441784738142
v25i_ref,altseed_b20_s5252,20,5252,17,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.004802938132022122
v25i_ref,altseed_b20_s5252,20,5252,17,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.005078894964831077
v25i_ref,altseed_b20_s5252,20,5252,17,18,0.006507115351749304,0.0034008680567532146,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0062448564547221,-0.004283129333410629
v25i_ref,altseed_b20_s5252,20,5252,17,22,0.00626392456072331,0.0033314360926126607,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.006287948781112,-0.004416716579936669
v25i_ref,altseed_b20_s5252,20,5252,17,25,0.006081594873280194,0.0032793641792554507,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0063202674247963,-0.004514568098962462
v25i_ref,altseed_b20_s5252,20,5252,29,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.005630441793826285
v25i_ref,altseed_b20_s5252,20,5252,29,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.006223225016396589
v25i_ref,altseed_b20_s5252,20,5252,29,18,0.006507115351749304,0.0034008680567532146,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0062448564547221,-0.005297804353335445
v25i_ref,altseed_b20_s5252,20,5252,29,22,0.00626392456072331,0.0033314360926126607,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.006287948781112,-0.005527313856197918
v25i_ref,altseed_b20_s5252,20,5252,29,25,0.006081594873280194,0.0032793641792554507,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0063202674247963,-0.0057074734387753834
v25i_ref,altblock_b16_s4242,16,4242,5,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.007479982800441092
v25i_ref,altblock_b16_s4242,16,4242,5,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.007839169345085772
v25i_ref,altblock_b16_s4242,16,4242,5,18,0.006507115351749304,0.0034008680567532146,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0062448564547221,-0.006316208743983503
v25i_ref,altblock_b16_s4242,16,4242,5,22,0.00626392456072331,0.0033314360926126607,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.006287948781112,-0.006741486867979401
v25i_ref,altblock_b16_s4242,16,4242,5,25,0.006081594873280194,0.0032793641792554507,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0063202674247963,-0.007246295450869078
v25i_ref,altblock_b16_s4242,16,4242,17,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.006769726739369264
v25i_ref,altblock_b16_s4242,16,4242,17,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.007257969935350372
