case,returncode,cached,name,gate,transaction_cost_bps,slippage_bps,ridge_l2,action_smoothing,target_mode,scale_turnover_penalty,min_signal_scale,max_signal_scale,min_spy_weight,max_spy_weight,initial_spy_weight,no_trade_band,seed,n_folds,min_robust_min_relative,min_active_fraction,gate_scale,mean_test_relative,mean_validation_relative,robust_min_test_relative,beat_hold_fraction,active_fraction,mean_turnover,mean_validation_gate_suppression_rate,mean_test_gate_suppression_rate,mean_test_executed_step_count,overall_gate_passed,validation_gate_passed,validation_gate_value,validation_gate_threshold,robust_gate_passed,robust_gate_value,robust_gate_threshold,active_gate_passed,active_gate_value,active_gate_threshold,summary_csv,detailed_json,delta_relative_vs_promoted,gate_margin_min
promoted_sign_12bps_gate55,0,False,promoted_sign_12bps_gate55,055,12.0,12.0,0.015,1.0,sign,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,5,5,0.0,0.01,bps,0.007257795941867329,0.009855505789728358,0.00017232160997360246,1.0,1.0,0.0006504323647401622,0.9870875179340028,0.9788793103448276,9.8,True,True,0.009855505789728358,0.0055,True,0.00017232160997360246,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/promoted_sign_12bps_gate55/main4_gate055_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/promoted_sign_12bps_gate55/main4_gate055_f5_s5_detailed.json,0.0,0.00017232160997360246
candidate_tanh_12bps_gate55,0,False,candidate_tanh_12bps_gate55,055,12.0,12.0,0.015,1.0,tanh_return,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,5,5,0.0,0.01,bps,0.006692858974178195,0.010311074283502997,0.003661326711706714,1.0,1.0,0.0012193466966300562,0.9538020086083213,0.9547413793103449,21.0,True,True,0.010311074283502997,0.0055,True,0.003661326711706714,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/candidate_tanh_12bps_gate55/main4_gate055_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/candidate_tanh_12bps_gate55/main4_gate055_f5_s5_detailed.json,-0.0005649369676891339,0.003661326711706714
candidate_tanh_15bps_gate55,0,False,candidate_tanh_15bps_gate55,055,15.0,15.0,0.015,1.0,tanh_return,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,5,5,0.0,0.01,bps,0.006267894789262085,0.00980911334161041,0.003087669318877273,1.0,1.0,0.0011317246856754892,0.9586800573888091,0.9581896551724138,19.4,True,True,0.00980911334161041,0.0055,True,0.003087669318877273,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/candidate_tanh_15bps_gate55/main4_gate055_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/candidate_tanh_15bps_gate55/main4_gate055_f5_s5_detailed.json,-0.000989901152605244,0.003087669318877273
candidate_tanh_18bps_gate55,0,False,candidate_tanh_18bps_gate55,055,18.0,18.0,0.015,1.0,tanh_return,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,5,5,0.0,0.01,bps,0.005504661059044569,0.009364197063137469,0.0030426861714873965,1.0,1.0,0.0010984751142453944,0.9595408895265424,0.9594827586206897,18.8,True,True,0.009364197063137469,0.0055,True,0.0030426861714873965,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/candidate_tanh_18bps_gate55/main4_gate055_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/candidate_tanh_18bps_gate55/main4_gate055_f5_s5_detailed.json,-0.0017531348828227602,0.0030426861714873965
promoted_sign_15bps_gate55,2,False,promoted_sign_15bps_gate55,055,15.0,15.0,0.015,1.0,sign,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,5,5,0.0,0.01,bps,0.007075721574804361,0.009700215234209076,-0.00030011394808593383,0.8,1.0,0.0006504323647401622,0.9870875179340028,0.9788793103448276,9.8,False,True,0.009700215234209076,0.0055,False,-0.00030011394808593383,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/promoted_sign_15bps_gate55/main4_gate055_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/promoted_sign_15bps_gate55/main4_gate055_f5_s5_detailed.json,-0.00018207436706296765,-0.00030011394808593383
promoted_sign_18bps_gate55,2,False,promoted_sign_18bps_gate55,055,18.0,18.0,0.015,1.0,sign,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,5,5,0.0,0.01,bps,0.006893703812149465,0.009544970370644812,-0.0007723357794368058,0.8,1.0,0.0006504323647401622,0.9870875179340028,0.9788793103448276,9.8,False,True,0.009544970370644812,0.0055,False,-0.0007723357794368058,0.0,True,1.0,0.01,artifacts/main4_promotion_sprint_runs/promoted_sign_18bps_gate55/main4_gate055_f5_s5_summary.csv,artifacts/main4_promotion_sprint_runs/promoted_sign_18bps_gate55/main4_gate055_f5_s5_detailed.json,-0.00036409212971786394,-0.0007723357794368058
