variant,scenario,block_size,base_path_seed,seed_jitter,path_seed,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate
v25s_n8,holdout_b12_p8284,12,8284,0,8284,5,25,300,-0.005787340922692962,0.001212659077307038,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,holdout_b12_p8284,12,8284,0,8284,17,25,300,-0.00704798927237073,-4.7989272370730154e-05,True,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,holdout_b12_p8284,12,8284,3,8287,5,25,300,-0.006851433022892866,0.00014856697710713407,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,holdout_b12_p8284,12,8284,3,8287,17,25,300,-0.004748307667114255,0.0022516923328857455,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,holdout_b12_p8284,12,8284,7,8291,5,25,300,-0.006105989918505972,0.0008940100814940283,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,holdout_b12_p8284,12,8284,7,8291,17,25,300,-0.005898301997952348,0.001101698002047652,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,holdout_b12_p8284,12,8284,0,8284,5,25,1200,-0.006249248467461055,0.0007507515325389453,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,holdout_b12_p8284,12,8284,0,8284,17,25,1200,-0.005899334520538285,0.001100665479461715,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,holdout_b12_p8284,12,8284,3,8287,5,25,1200,-0.005617086518990661,0.0013829134810093395,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,holdout_b12_p8284,12,8284,3,8287,17,25,1200,-0.0056896634561358515,0.0013103365438641486,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,holdout_b12_p8284,12,8284,7,8291,5,25,1200,-0.006319058605559952,0.0006809413944400483,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,holdout_b12_p8284,12,8284,7,8291,17,25,1200,-0.005872235757798494,0.001127764242201506,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,pack2603_b10_p8441,10,8441,0,8441,5,25,300,-0.006759974348736863,0.00024002565126313678,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,pack2603_b10_p8441,10,8441,0,8441,17,25,300,-0.007605308125175558,-0.000605308125175558,True,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,pack2603_b10_p8441,10,8441,3,8444,5,25,300,-0.005962400454309497,0.0010375995456905034,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,pack2603_b10_p8441,10,8441,3,8444,17,25,300,-0.006099363137934876,0.0009006368620651239,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,pack2603_b10_p8441,10,8441,7,8448,5,25,300,-0.006588267527814851,0.0004117324721851492,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,pack2603_b10_p8441,10,8441,7,8448,17,25,300,-0.006564294425495265,0.0004357055745047352,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,pack2603_b10_p8441,10,8441,0,8441,5,25,1200,-0.006280580750357989,0.0007194192496420108,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,pack2603_b10_p8441,10,8441,0,8441,17,25,1200,-0.006409498437556793,0.0005905015624432068,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,pack2603_b10_p8441,10,8441,3,8444,5,25,1200,-0.006114651542244059,0.000885348457755941,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,pack2603_b10_p8441,10,8441,3,8444,17,25,1200,-0.0061317483789389724,0.0008682516210610277,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,pack2603_b10_p8441,10,8441,7,8448,5,25,1200,-0.0062217203712987505,0.0007782796287012497,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,pack2603_b10_p8441,10,8441,7,8448,17,25,1200,-0.006244721690564508,0.0007552783094354918,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,rand_b13_p6575,13,6575,0,6575,5,25,300,-0.007281163198135754,-0.00028116319813575354,True,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,rand_b13_p6575,13,6575,0,6575,17,25,300,-0.005652051433433719,0.0013479485665662807,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,rand_b13_p6575,13,6575,3,6578,5,25,300,-0.006903574873548474,9.642512645152614e-05,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,rand_b13_p6575,13,6575,3,6578,17,25,300,-0.0053656427442204885,0.0016343572557795116,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,rand_b13_p6575,13,6575,7,6582,5,25,300,-0.007018897171455341,-1.8897171455340735e-05,True,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,rand_b13_p6575,13,6575,7,6582,17,25,300,-0.005523291887613829,0.0014767081123861709,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,rand_b13_p6575,13,6575,0,6575,5,25,1200,-0.0058152566135019675,0.0011847433864980326,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,rand_b13_p6575,13,6575,0,6575,17,25,1200,-0.005533963497805349,0.0014660365021946509,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,rand_b13_p6575,13,6575,3,6578,5,25,1200,-0.006150579999762884,0.0008494200002371159,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,rand_b13_p6575,13,6575,3,6578,17,25,1200,-0.005843397536993933,0.0011566024630060671,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
