variant,path_bootstrap_reps,group,scenario,seed,transaction_cost_bps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown
v25w_n8,600,curated,altblock_b16_s4242,5,18,-0.005216161843087324,0.0017838381569126758,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,altblock_b16_s4242,5,22,-0.005697518271370932,0.001302481728629068,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,altblock_b16_s4242,5,25,-0.005904632200125548,0.0010953677998744521,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,altblock_b16_s4242,17,18,-0.004718981252264048,0.0022810187477359523,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,altblock_b16_s4242,17,22,-0.005258239864231784,0.0017417601357682163,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,altblock_b16_s4242,17,25,-0.0054602092661014835,0.0015397907338985167,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,altblock_b16_s4242,29,18,-0.005471507826966942,0.0015284921730330577,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,altblock_b16_s4242,29,22,-0.0061492884174913056,0.0008507115825086946,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,altblock_b16_s4242,29,25,-0.006374161970052783,0.0006258380299472175,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,altblock_b24_s4242,5,18,-0.003629628747541652,0.003370371252458348,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,altblock_b24_s4242,5,22,-0.0037752902727693767,0.0032247097272306235,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
