variant,group,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown
v25z_band_hi,screen_curated,deepcheck_b12_s8080,5,22,600,-0.00879980341889125,-0.0017998034188912498,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_curated,deepcheck_b12_s8080,5,25,600,-0.009161397597350296,-0.0021613975973502958,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_curated,deepcheck_b12_s8080,17,22,600,-0.009376512555646204,-0.0023765125556462043,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_curated,deepcheck_b12_s8080,17,25,600,-0.009700027820234752,-0.0027000278202347515,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_curated,stress_b14_s7070,5,22,600,-0.008609800175042592,-0.0016098001750425922,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_curated,stress_b14_s7070,5,25,600,-0.00895153190764829,-0.0019515319076482901,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_curated,stress_b14_s7070,17,22,600,-0.008048546650283199,-0.0010485466502831988,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_curated,stress_b14_s7070,17,25,600,-0.008511732432517538,-0.0015117324325175383,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_curated,stress_b30_s10010,5,22,600,-0.007683843602739454,-0.0006838436027394538,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_curated,stress_b30_s10010,5,25,600,-0.008350212393030253,-0.0013502123930302532,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_curated,stress_b30_s10010,17,22,600,-0.007808509028905435,-0.0008085090289054351,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_curated,stress_b30_s10010,17,25,600,-0.008273616010668793,-0.001273616010668793,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_random,worst_rh_b10_p13419,5,22,600,-0.010277013295700426,-0.0032770132957004256,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_random,worst_rh_b10_p13419,5,25,600,-0.010542990857970086,-0.003542990857970086,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_random,worst_rh_b10_p13419,17,22,600,-0.009183994853766775,-0.002183994853766775,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_random,worst_rh_b10_p13419,17,25,600,-0.009574928349607104,-0.0025749283496071034,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_random,worst_rt_b10_p7064,5,22,600,-0.00925630890674634,-0.0022563089067463406,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
v25z_band_hi,screen_random,worst_rt_b10_p7064,5,25,600,-0.009592051969514764,-0.002592051969514764,True,0.004302060081848058,0.0006553787633181152,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0063282604057841
v25z_band_hi,screen_random,worst_rt_b10_p7064,17,22,600,-0.008509435474886728,-0.001509435474886728,True,0.004453821503250621,0.0009813001175900116,0.0005435064627618941,0.019784946236559138,-0.001887116612515,0.0062199132342882
