candidate,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative,mean_validation_relative,mean_turnover,mean_executed_steps,mean_gate_suppression,seed_return_range,activity_violations,cost35_breach_count,cost35_min_slack
c_objw05,8,0,0.0,0.009633637431635582,0.011126408124890512,0.01760170917643933,0.011283102857644334,0.00010026848795872218,1.0,0.9978448275862069,0.0,8,0,0.009633637431635582
sc3e_incumbent_newseed,8,0,0.0,0.007,0.010568474767281382,0.016584520002860204,0.011215050929218248,9.401678080563555e-05,0.9375,0.997979525862069,0.0,8,0,0.007
c_objw075,8,0,0.0,0.007,0.01056645307907419,0.016575020144741118,0.011208644033782397,9.396329288061819e-05,0.9375,0.997979525862069,0.0,8,0,0.007
c_objw125,8,0,0.0,0.007,0.01056645307907419,0.016575020144741118,0.011208644033782397,9.396329288061819e-05,0.9375,0.997979525862069,0.0,8,0,0.007
c_objw15,8,0,0.0,0.007,0.01056645307907419,0.016575020144741118,0.011208644033782397,9.396329288061819e-05,0.9375,0.997979525862069,0.0,8,0,0.007
