variant,scenario,mean_test_relative,worst_robust_min,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,mean_path,min_case_path,mean_path_slack,min_case_slack,pass_non_path,pass_case_floor
v25k_n8,altblock_b16_s4242,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.0018900190598922,0.00615848550879,-0.005444079375403429,-0.006467675641166903,0.0015559206245965712,0.0005323243588330967,True,True
v25k_n8,altblock_b24_s4242,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.0018900190598922,0.00615848550879,-0.003254192755270444,-0.004331708687348245,0.003745807244729556,0.002668291312651755,True,True
v25k_n8,altboth_b24_s6060,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.0018900190598922,0.00615848550879,-0.0038704518881833294,-0.005651264284040736,0.0031295481118166707,0.0013487357159592643,True,True
v25k_n8,altseed_b20_s5252,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.0018900190598922,0.00615848550879,-0.0043108646557949,-0.005667298428069889,0.0026891353442051,0.0013327015719301113,True,True
v25k_n8,baseline_b20_s4242,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.0018900190598922,0.00615848550879,-0.004142967472512466,-0.005110057539455087,0.0028570325274875344,0.0018899424605449133,True,True
v25k_n8,deepcheck_b12_s8080,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.0018900190598922,0.00615848550879,-0.005070322509160819,-0.005917678788437924,0.0019296774908391812,0.0010823212115620758,True,True
v25k_n8,deepcheck_b28_s9090,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.0018900190598922,0.00615848550879,-0.003351314172420386,-0.004143645613751296,0.0036486858275796142,0.002856354386248704,True,True
v25k_n8,stress_b14_s7070,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.0018900190598922,0.00615848550879,-0.0051811153612216715,-0.0064316530094890405,0.0018188846387783286,0.0005683469905109597,True,True
v25k_n8,stress_b30_s10010,0.005610279873621477,0.003287241307322386,0.000671476452037068,0.02408602150537635,-0.0018900190598922,0.00615848550879,-0.002823311035754762,-0.003332787961316369,0.004176688964245239,0.003667212038683631,True,True
