variant,scenarios,all_non_path,all_case_floor,min_case_slack,min_mean_path_slack,mean_mean_path,mean_test_relative,mean_turnover,mean_executed_step_rate
v25i_ref,7,True,False,-0.000972679399081129,0.0005979845273455754,-0.004879713947597244,0.0060558043676903145,0.0006433278668192536,0.022709677419354847
v25i_asym_t2,7,False,False,-0.0021872887672389823,-0.0009167078307844917,-0.00663950838141502,0.0032484563669984644,0.0005305000498825213,0.018494623655913978
v25i_tight_2,7,True,False,-0.0041163097976810005,-0.0026139711037931656,-0.00765650402921854,0.0034342282401456795,0.0006456757395117924,0.022709677419354844
