variant,feature_family,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative,mean_validation_relative,mean_turnover
v36_baseline_ref,baseline,16,0,0.0,0.00018342860153710595,0.002105856036058007,0.005987772427150384,0.008524886581358615,0.0006529236888526112
v36_regime_interactions,regime_interactions,16,16,1.0,-0.013642311513832439,-0.010060268834065645,0.0016941434538852882,0.006092306310411177,0.00124362652362501
v36_shock_reversal,shock_reversal,16,16,1.0,-0.021758511829664214,-0.01768053235280352,-0.0012867673753798824,0.0015436468936802505,0.0006197069342326897
