split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_turnover,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.221915,0.272629,-0.03985,0.139534,0.006869,207,-0.050714,-0.030843,145,240,180,275,8,1,1,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.307619,1.058609,0.027196,1.006224,0.401304,0.2,0.762913,0.006363
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.274245,0.299071,-0.01911,0.131005,0.006359,308,-0.024826,-0.030843,145,240,180,275,8,1,1,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.307619,1.058609,0.027196,1.006224,0.401304,0.2,0.762913,0.006363
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.267453,0.344293,-0.05716,0.175186,0.000484,7,-0.076839,-0.050342,0,240,180,236,0,0,3,True,True,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.490426,0.358327,-0.680115,0.222511,0.756157,-0.590457,0.818332,0.028463
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.357307,0.42204,-0.045521,0.151549,0.00033,7,-0.064733,-0.050342,0,240,180,236,0,0,3,True,True,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.490426,0.358327,-0.680115,0.222511,0.756157,-0.590457,0.818332,0.028463
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.309226,0.362189,-0.038881,0.082925,0.000273,4,-0.052963,0.008361,161,240,180,258,113,4,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.173163,0.415472,0.320299,-0.467192,0.331057,-0.620252,0.85,0.03
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.200355,0.23565,-0.028564,0.099671,0.000176,4,-0.035295,0.008361,161,240,180,258,113,4,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.173163,0.415472,0.320299,-0.467192,0.331057,-0.620252,0.85,0.03
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.225422,0.272629,-0.037095,0.136883,0.005225,73,-0.047208,-0.036671,145,240,180,275,15,0,0,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.383355,1.149263,0.49747,0.378661,0.718973,0.163594,0.65288,0.023359
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.269092,0.299071,-0.023077,0.131413,0.004933,100,-0.029979,-0.036671,145,240,180,275,15,0,0,False,False,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.383355,1.149263,0.49747,0.378661,0.718973,0.163594,0.65288,0.023359
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.288399,0.344293,-0.041578,0.145875,0.000523,7,-0.055893,-0.055157,0,240,180,238,0,0,1,True,True,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.492046,0.233973,0.839512,-0.636322,0.386788,-0.378899,0.72826,0.029221
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.363206,0.42204,-0.041373,0.121459,0.000716,15,-0.058835,-0.055157,0,240,180,238,0,0,1,True,True,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.492046,0.233973,0.839512,-0.636322,0.386788,-0.378899,0.72826,0.029221
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.288064,0.362189,-0.054416,0.125179,0.00042,7,-0.074125,0.004915,165,240,180,255,112,1,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.334352,-0.29168,-0.366465,0.349579,0.168632,-1.053259,0.838442,0.023921
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.190865,0.23565,-0.036244,0.119151,0.000214,6,-0.044784,0.004915,165,240,180,255,112,1,0,False,False,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.334352,-0.29168,-0.366465,0.349579,0.168632,-1.053259,0.838442,0.023921
