variant,group,scenario,rows,breach_count,pass_non_path,min_case_slack,mean_case_slack,mean_test_relative
v25z_band_lo,curated,altblock_b16_s4242,9,0,True,0.0006851544135674679,0.0014727052727516812,0.005460205300093509
v25z_band_lo,curated,altblock_b24_s4242,9,0,True,0.003131595796214309,0.0033963776181872526,0.005460205300093509
v25z_band_lo,curated,altboth_b24_s6060,9,0,True,0.001600740353291108,0.0028109259190768473,0.005460205300093509
v25z_band_lo,curated,altseed_b20_s5252,9,0,True,0.0018059015127986962,0.0024695706091181196,0.005460205300093509
v25z_band_lo,curated,baseline_b20_s4242,9,0,True,0.0020797727402264987,0.0027462823205691277,0.005460205300093509
v25z_band_lo,curated,deepcheck_b12_s8080,9,0,True,0.0012734305908659585,0.0016826307879413706,0.005460205300093509
v25z_band_lo,curated,deepcheck_b28_s9090,9,0,True,0.00325093735670362,0.0036530065609371365,0.005460205300093509
v25z_band_lo,curated,stress_b14_s7070,9,0,True,0.0008517327664232131,0.0017007130019173655,0.005460205300093509
v25z_band_lo,curated,stress_b30_s10010,9,0,True,0.0032943124764210734,0.0037391488388019453,0.005460205300093509
v25z_band_lo,random_holdout,random_holdout_b10_p10572,4,0,True,0.000700705577530613,0.0009005489553448329,0.005345294671968026
v25z_band_lo,random_holdout,random_holdout_b11_p12340,4,0,True,0.0012462744744863525,0.0014045285812371354,0.005345294671968026
v25z_band_lo,random_holdout,random_holdout_b12_p6198,4,0,True,0.00048506132408147017,0.0011575250171867296,0.005345294671968026
v25z_band_lo,random_holdout,random_holdout_b15_p7889,4,0,True,0.0008123416555773696,0.0012533709619967246,0.005345294671968026
v25z_band_lo,random_holdout,random_holdout_b15_p8956,4,0,True,0.0011500960234737843,0.001457401740323466,0.005345294671968026
v25z_band_lo,random_holdout,random_holdout_b16_p10086,4,0,True,0.0016853930417909278,0.001972925718700964,0.005345294671968026
v25z_band_lo,random_train,random_train_b10_p7064,4,0,True,0.0003215909022632017,0.0009423192348456148,0.005345294671968026
v25z_band_lo,random_train,random_train_b10_p9889,4,0,True,0.0011793393804214684,0.0013558201609207578,0.005345294671968026
v25z_band_lo,random_train,random_train_b11_p6801,4,0,True,0.0010540317843126309,0.0014265846214830233,0.005345294671968026
v25z_band_lo,random_train,random_train_b12_p8403,4,0,True,0.00010803763647745414,0.0010799013529223188,0.005345294671968026
v25z_band_lo,random_train,random_train_b13_p14175,4,0,True,0.0015156524274379636,0.001633384537337061,0.005345294671968026
v25z_band_lo,random_train,random_train_b13_p14394,4,0,True,0.0013633905482541174,0.0015692292731415826,0.005345294671968026
v25z_band_lo,random_train,random_train_b16_p10914,4,0,True,0.0009403754982993335,0.001274607980745355,0.005345294671968026
v25z_band_lo,random_train,random_train_b16_p9682,4,0,True,0.0015859454378754356,0.0018911822378913949,0.005345294671968026
v25z_ref,curated,altblock_b16_s4242,9,0,True,0.0006851544135674679,0.0014727052727516812,0.005460205300093509
v25z_ref,curated,altblock_b24_s4242,9,0,True,0.003131595796214309,0.0033963776181872526,0.005460205300093509
v25z_ref,curated,altboth_b24_s6060,9,0,True,0.001600740353291108,0.0028109259190768473,0.005460205300093509
v25z_ref,curated,altseed_b20_s5252,9,0,True,0.0018059015127986962,0.0024695706091181196,0.005460205300093509
v25z_ref,curated,baseline_b20_s4242,9,0,True,0.0020797727402264987,0.0027462823205691277,0.005460205300093509
v25z_ref,curated,deepcheck_b12_s8080,9,0,True,0.0012734305908659585,0.0016826307879413706,0.005460205300093509
v25z_ref,curated,deepcheck_b28_s9090,9,0,True,0.00325093735670362,0.0036530065609371365,0.005460205300093509
v25z_ref,curated,stress_b14_s7070,9,0,True,0.0008517327664232131,0.0017007130019173655,0.005460205300093509
v25z_ref,curated,stress_b30_s10010,9,0,True,0.0032943124764210734,0.0037391488388019453,0.005460205300093509
v25z_ref,random_holdout,random_holdout_b10_p10572,4,0,True,0.000700705577530613,0.0009005489553448329,0.005345294671968026
v25z_ref,random_holdout,random_holdout_b11_p12340,4,0,True,0.0012462744744863525,0.0014045285812371354,0.005345294671968026
v25z_ref,random_holdout,random_holdout_b12_p6198,4,0,True,0.00048506132408147017,0.0011575250171867296,0.005345294671968026
v25z_ref,random_holdout,random_holdout_b15_p7889,4,0,True,0.0008123416555773696,0.0012533709619967246,0.005345294671968026
v25z_ref,random_holdout,random_holdout_b15_p8956,4,0,True,0.0011500960234737843,0.001457401740323466,0.005345294671968026
v25z_ref,random_holdout,random_holdout_b16_p10086,4,0,True,0.0016853930417909278,0.001972925718700964,0.005345294671968026
v25z_ref,random_train,random_train_b10_p7064,4,0,True,0.0003215909022632017,0.0009423192348456148,0.005345294671968026
v25z_ref,random_train,random_train_b10_p9889,4,0,True,0.0011793393804214684,0.0013558201609207578,0.005345294671968026
v25z_ref,random_train,random_train_b11_p6801,4,0,True,0.0010540317843126309,0.0014265846214830233,0.005345294671968026
v25z_ref,random_train,random_train_b12_p8403,4,0,True,0.00010803763647745414,0.0010799013529223188,0.005345294671968026
v25z_ref,random_train,random_train_b13_p14175,4,0,True,0.0015156524274379636,0.001633384537337061,0.005345294671968026
v25z_ref,random_train,random_train_b13_p14394,4,0,True,0.0013633905482541174,0.0015692292731415826,0.005345294671968026
v25z_ref,random_train,random_train_b16_p10914,4,0,True,0.0009403754982993335,0.001274607980745355,0.005345294671968026
v25z_ref,random_train,random_train_b16_p9682,4,0,True,0.0015859454378754356,0.0018911822378913949,0.005345294671968026
v25z_ridge_hi,curated,altblock_b16_s4242,9,0,True,0.0006851606985053653,0.0014727085269880767,0.005460204407300721
v25z_ridge_hi,curated,altblock_b24_s4242,9,0,True,0.0031315990098282117,0.0033963797186354655,0.005460204407300721
v25z_ridge_hi,curated,altboth_b24_s6060,9,0,True,0.0016007422857206074,0.0028109288786437947,0.005460204407300721
v25z_ridge_hi,curated,altseed_b20_s5252,9,0,True,0.001805903084755289,0.0024695731016166882,0.005460204407300721
v25z_ridge_hi,curated,baseline_b20_s4242,9,0,True,0.0020797739552133824,0.0027462846584397262,0.005460204407300721
v25z_ridge_hi,curated,deepcheck_b12_s8080,9,0,True,0.001273431532284968,0.0016826327678650865,0.005460204407300721
v25z_ridge_hi,curated,deepcheck_b28_s9090,9,0,True,0.0032509380865319345,0.0036530073053476714,0.005460204407300721
v25z_ridge_hi,curated,stress_b14_s7070,9,0,True,0.0008517370554337548,0.00170071641187328,0.005460204407300721
v25z_ridge_hi,curated,stress_b30_s10010,9,0,True,0.003294312635887769,0.00373915021041687,0.005460204407300721
v25z_ridge_hi,random_holdout,random_holdout_b10_p10572,4,0,True,0.0007007058718513093,0.000900551882391337,0.005345293813306973
v25z_ridge_hi,random_holdout,random_holdout_b11_p12340,4,0,True,0.001246280446813769,0.001404533320784876,0.005345293813306973
v25z_ridge_hi,random_holdout,random_holdout_b12_p6198,4,0,True,0.0004850683225210532,0.001157529854961731,0.005345293813306973
v25z_ridge_hi,random_holdout,random_holdout_b15_p7889,4,0,True,0.0008123432857165989,0.0012533728150918282,0.005345293813306973
v25z_ridge_hi,random_holdout,random_holdout_b15_p8956,4,0,True,0.0011500997055223167,0.0014574035521708229,0.005345293813306973
