variant,path_bootstrap_reps,envelope,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative,mean_runtime_sec
v25u_n8,600,random_holdout,12,0,0.0,0.0004860905454183327,0.001256565192604535,0.005195956249227418,1.5453607569943415
v25u_n8,600,random_train,12,0,0.0,0.0008412895698937939,0.0013758676645898068,0.005195956249227418,1.727552458338323
v25u_pA,600,random_holdout,12,0,0.0,0.0005046726264759877,0.001339706554552212,0.005251300621383015,1.5306411387476448
v25u_pA,600,random_train,12,0,0.0,0.0009326937625560965,0.0014543025690553282,0.005251300621383015,1.5450279618332086
v25u_n8,900,random_holdout,12,0,0.0,0.00029428476656710983,0.0011291421226642987,0.005195956249227418,1.6294748507595311
v25u_n8,900,random_train,12,0,0.0,0.0008028080413740478,0.0014573979793791236,0.005195956249227418,1.6120543161669048
v25u_pA,900,random_holdout,12,0,0.0,0.0004318377171063032,0.0012263389657036087,0.005251300621383015,1.5780560658410347
v25u_pA,900,random_train,12,0,0.0,0.0008866579106580445,0.0015063470242944225,0.005251300621383015,1.567471045074247
v25u_n8,1200,random_holdout,12,0,0.0,0.00029428476656710983,0.0012127128751993161,0.005195956249227418,1.6472199965064647
v25u_n8,1200,random_train,12,0,0.0,0.0008028080413740478,0.0013449579293724897,0.005195956249227418,1.6482381945000573
v25u_pA,1200,random_holdout,12,0,0.0,0.00037704464188399386,0.0013007397771083228,0.005251300621383015,1.7040876145717145
v25u_pA,1200,random_train,12,0,0.0,0.0008866579106580445,0.0014248710884822201,0.005251300621383015,1.619188850580637
v25u_n8,1800,random_holdout,12,0,0.0,0.000476487808676573,0.001327162845555929,0.005195956249227418,1.7846071387612028
v25u_n8,1800,random_train,12,0,0.0,0.0009220767517510607,0.0013661898629340906,0.005195956249227418,1.6980971319959888
v25u_pA,1800,random_holdout,12,0,0.0,0.0005076097214961597,0.0013994778475694986,0.005251300621383015,1.7152710799176323
v25u_pA,1800,random_train,12,0,0.0,0.0009726721693435521,0.0014207644322254194,0.005251300621383015,1.7474227813266527
