fold,test_mean,beat,turn,val_mean
fold_01,-0.0006866999999999999,0.2,0.0036084,0.0024808
fold_02,-0.00014399999999999998,0.1,0.0014712,-0.0013770999999999998
fold_03,-0.00017819999999999983,0.5,0.0055268999999999995,0.0073351
