variant,envelope,scenario,seed,transaction_cost_bps,path_bootstrap_reps,runtime_sec,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v25u_n8,random_holdout,random_holdout_b11_p13416,5,25,600,1.5454880829784088,-0.005779196843850076,0.001220803156149924,False,0.005195956249227418
v25u_n8,random_holdout,random_holdout_b11_p13416,17,25,600,1.5612289169803262,-0.0065139094545816675,0.0004860905454183327,False,0.005195956249227418
v25u_n8,random_holdout,random_holdout_b11_p6384,5,25,600,1.5497083750087768,-0.005364909039623461,0.0016350909603765392,False,0.005195956249227418
v25u_n8,random_holdout,random_holdout_b11_p6384,17,25,600,1.554448125010822,-0.005671126902586748,0.0013288730974132523,False,0.005195956249227418
v25u_n8,random_holdout,random_holdout_b12_p8284,5,25,600,1.5532447500154376,-0.0064368734359666335,0.0005631265640333666,False,0.005195956249227418
v25u_n8,random_holdout,random_holdout_b12_p8284,17,25,600,1.546643709007185,-0.006167472603136264,0.0008325273968637359,False,0.005195956249227418
v25u_n8,random_holdout,random_holdout_b13_p12612,5,25,600,1.5455722499755211,-0.005855436442635464,0.001144563557364536,False,0.005195956249227418
v25u_n8,random_holdout,random_holdout_b13_p12612,17,25,600,1.5591849160264246,-0.0059018415766978975,0.0010981584233021027,False,0.005195956249227418
v25u_n8,random_holdout,random_holdout_b17_p7370,5,25,600,1.5238815000047907,-0.006075125979466345,0.0009248740205336555,False,0.005195956249227418
v25u_n8,random_holdout,random_holdout_b17_p7370,17,25,600,1.5404637499595992,-0.0050437177094456555,0.0019562822905543446,False,0.005195956249227418
v25u_n8,random_holdout,random_holdout_b18_p11802,5,25,600,1.533714291988872,-0.005107637300506778,0.0018923626994932219,False,0.005195956249227418
v25u_n8,random_holdout,random_holdout_b18_p11802,17,25,600,1.530750416975934,-0.005003970400248591,0.001996029599751409,False,0.005195956249227418
v25u_n8,random_train,random_train_b13_p8083,5,25,600,2.5645954590290785,-0.0051003299431819854,0.0018996700568180147,False,0.005195956249227418
v25u_n8,random_train,random_train_b13_p8083,17,25,600,1.7661277910228819,-0.005796278027036366,0.0012037219729636338,False,0.005195956249227418
v25u_n8,random_train,random_train_b14_p8696,5,25,600,1.547188208962325,-0.00607848962738603,0.0009215103726139704,False,0.005195956249227418
v25u_n8,random_train,random_train_b14_p8696,17,25,600,1.5492796669714153,-0.005614880133361205,0.0013851198666387952,False,0.005195956249227418
v25u_n8,random_train,random_train_b14_p9908,5,25,600,1.571794375020545,-0.006014294651645574,0.000985705348354426,False,0.005195956249227418
v25u_n8,random_train,random_train_b14_p9908,17,25,600,1.5448084590025246,-0.005788797212416646,0.0012112027875833542,False,0.005195956249227418
v25u_n8,random_train,random_train_b15_p7333,5,25,600,1.875419458025135,-0.005368703206285996,0.0016312967937140042,False,0.005195956249227418
v25u_n8,random_train,random_train_b15_p7333,17,25,600,1.5884221250307746,-0.005805572787037594,0.001194427212962406,False,0.005195956249227418
v25u_n8,random_train,random_train_b16_p9575,5,25,600,1.6941473330371082,-0.006158710430106206,0.0008412895698937939,False,0.005195956249227418
