variant,rows,all_non_path,all_case_floor,min_case_slack,mean_case_slack,mean_test_relative,mean_turnover,mean_executed_step_rate,breach_count,train_breach_count,holdout_breach_count,train_min_case_slack,holdout_min_case_slack
v25r_pA,120,True,False,-2.90847786760199e-05,0.0019200854423154726,0.005345294671968026,0.0006707529060632234,0.024086021505376348,1,0,1,0.00032912149794724326,-2.90847786760199e-05
v25r_nA,120,True,False,-4.798387398778983e-05,0.0018434711139475148,0.005290087542365461,0.0006714762540477563,0.024086021505376348,1,0,1,0.00028188800765146464,-4.798387398778983e-05
v25r_n8,120,True,False,-4.7989272370730154e-05,0.0018434682155049793,0.005290088399023695,0.000671476452037068,0.024086021505376348,1,0,1,0.00028188368468627916,-4.7989272370730154e-05
