variant,feature_family,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,mean_validation_relative,mean_turnover
v36_regime_interactions,regime_interactions,baseline_b20_s4242,5,25.0,300,-0.01631262986945381,-0.00931262986945381,True,0.0015200851484841404,0.0058614895203212836,0.00124362652362501
v36_regime_interactions,regime_interactions,baseline_b20_s4242,17,22.0,300,-0.0156679913853807,-0.0086679913853807,True,0.0018682017592864363,0.006323123100501071,0.00124362652362501
v36_regime_interactions,regime_interactions,baseline_b20_s4242,17,25.0,300,-0.01681747712835486,-0.00981747712835486,True,0.0015200851484841404,0.0058614895203212836,0.00124362652362501
v36_regime_interactions,regime_interactions,altblock_b16_s4242,5,22.0,300,-0.017698308206781282,-0.010698308206781283,True,0.0018682017592864363,0.006323123100501071,0.00124362652362501
v36_regime_interactions,regime_interactions,altblock_b16_s4242,5,25.0,300,-0.01884175576558563,-0.011841755765585632,True,0.0015200851484841404,0.0058614895203212836,0.00124362652362501
v36_regime_interactions,regime_interactions,altblock_b16_s4242,17,22.0,300,-0.018993830758965786,-0.011993830758965787,True,0.0018682017592864363,0.006323123100501071,0.00124362652362501
v36_regime_interactions,regime_interactions,altblock_b16_s4242,17,25.0,300,-0.02064231151383244,-0.013642311513832439,True,0.0015200851484841404,0.0058614895203212836,0.00124362652362501
v36_regime_interactions,regime_interactions,altseed_b20_s5252,5,22.0,300,-0.013552964640147014,-0.006552964640147014,True,0.0018682017592864363,0.006323123100501071,0.00124362652362501
v36_regime_interactions,regime_interactions,altseed_b20_s5252,5,25.0,300,-0.014245228832954076,-0.007245228832954076,True,0.0015200851484841404,0.0058614895203212836,0.00124362652362501
v36_regime_interactions,regime_interactions,altseed_b20_s5252,17,22.0,300,-0.014210769948996066,-0.0072107699489960654,True,0.0018682017592864363,0.006323123100501071,0.00124362652362501
v36_regime_interactions,regime_interactions,altseed_b20_s5252,17,25.0,300,-0.015251620651851221,-0.00825162065185122,True,0.0015200851484841404,0.0058614895203212836,0.00124362652362501
v36_regime_interactions,regime_interactions,deepcheck_b12_s8080,5,22.0,300,-0.018507025175902934,-0.011507025175902935,True,0.0018682017592864363,0.006323123100501071,0.00124362652362501
v36_regime_interactions,regime_interactions,deepcheck_b12_s8080,5,25.0,300,-0.019411826199339,-0.012411826199339001,True,0.0015200851484841404,0.0058614895203212836,0.00124362652362501
v36_regime_interactions,regime_interactions,deepcheck_b12_s8080,17,22.0,300,-0.018474697576335176,-0.011474697576335176,True,0.0018682017592864363,0.006323123100501071,0.00124362652362501
v36_regime_interactions,regime_interactions,deepcheck_b12_s8080,17,25.0,300,-0.01939019296110253,-0.012390192961102532,True,0.0015200851484841404,0.0058614895203212836,0.00124362652362501
v36_shock_reversal,shock_reversal,baseline_b20_s4242,5,22.0,300,-0.022627263283153776,-0.015627263283153777,True,-0.0012007491148094517,0.0015792951905047481,0.0006197069342326897
v36_shock_reversal,shock_reversal,baseline_b20_s4242,5,25.0,300,-0.02395497080698732,-0.01695497080698732,True,-0.0013727856359503133,0.001507998596855753,0.0006197069342326897
v36_shock_reversal,shock_reversal,baseline_b20_s4242,17,22.0,300,-0.026417543338771055,-0.019417543338771055,True,-0.0012007491148094517,0.0015792951905047481,0.0006197069342326897
v36_shock_reversal,shock_reversal,baseline_b20_s4242,17,25.0,300,-0.027628514094071778,-0.02062851409407178,True,-0.0013727856359503133,0.001507998596855753,0.0006197069342326897
v36_shock_reversal,shock_reversal,altblock_b16_s4242,5,22.0,300,-0.022930014528683363,-0.015930014528683364,True,-0.0012007491148094517,0.0015792951905047481,0.0006197069342326897
v36_shock_reversal,shock_reversal,altblock_b16_s4242,5,25.0,300,-0.02394709780463919,-0.01694709780463919,True,-0.0013727856359503133,0.001507998596855753,0.0006197069342326897
v36_shock_reversal,shock_reversal,altblock_b16_s4242,17,22.0,300,-0.02339538568905954,-0.01639538568905954,True,-0.0012007491148094517,0.0015792951905047481,0.0006197069342326897
v36_shock_reversal,shock_reversal,altblock_b16_s4242,17,25.0,300,-0.024663177334692803,-0.017663177334692803,True,-0.0013727856359503133,0.001507998596855753,0.0006197069342326897
v36_shock_reversal,shock_reversal,altseed_b20_s5252,5,22.0,300,-0.0275745344232356,-0.0205745344232356,True,-0.0012007491148094517,0.0015792951905047481,0.0006197069342326897
v36_shock_reversal,shock_reversal,altseed_b20_s5252,5,25.0,300,-0.028758511829664213,-0.021758511829664214,True,-0.0013727856359503133,0.001507998596855753,0.0006197069342326897
v36_shock_reversal,shock_reversal,altseed_b20_s5252,17,22.0,300,-0.023680908423086275,-0.016680908423086276,True,-0.0012007491148094517,0.0015792951905047481,0.0006197069342326897
v36_shock_reversal,shock_reversal,altseed_b20_s5252,17,25.0,300,-0.025015921850954973,-0.018015921850954974,True,-0.0013727856359503133,0.001507998596855753,0.0006197069342326897
v36_shock_reversal,shock_reversal,deepcheck_b12_s8080,5,22.0,300,-0.023856675073814275,-0.016856675073814276,True,-0.0012007491148094517,0.0015792951905047481,0.0006197069342326897
v36_shock_reversal,shock_reversal,deepcheck_b12_s8080,5,25.0,300,-0.025200059717952177,-0.018200059717952178,True,-0.0013727856359503133,0.001507998596855753,0.0006197069342326897
v36_shock_reversal,shock_reversal,deepcheck_b12_s8080,17,22.0,300,-0.022058805539222348,-0.015058805539222349,True,-0.0012007491148094517,0.0015792951905047481,0.0006197069342326897
v36_shock_reversal,shock_reversal,deepcheck_b12_s8080,17,25.0,300,-0.02317913390686762,-0.01617913390686762,True,-0.0013727856359503133,0.001507998596855753,0.0006197069342326897
