variant,feature_family,signal_model_family,regime_drawdown_threshold,regime_drawdown_floor,state_scale_slope_min,state_scale_slope_max,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,mean_validation_relative,mean_turnover
v38_state_scale_defensive,baseline,state_scaled_linear,-0.08,-0.2,-1.4,0.0,altseed_b20_s5252,17,25.0,300,-0.003381115097072723,0.003618884902927277,False,0.004379678593696345,0.008766807885896366,0.00038906809438998314
v38_state_scale_defensive,baseline,state_scaled_linear,-0.08,-0.2,-1.4,0.0,deepcheck_b12_s8080,5,22.0,300,-0.004899226108159465,0.002100773891840535,False,0.004352628731637465,0.009196750933900155,0.00036170997287859115
v38_state_scale_defensive,baseline,state_scaled_linear,-0.08,-0.2,-1.4,0.0,deepcheck_b12_s8080,5,25.0,300,-0.005021660316920823,0.0019783396830791774,False,0.004379678593696345,0.008766807885896366,0.00038906809438998314
v38_state_scale_defensive,baseline,state_scaled_linear,-0.08,-0.2,-1.4,0.0,deepcheck_b12_s8080,17,22.0,300,-0.0050732284297684725,0.0019267715702315277,False,0.004352628731637465,0.009196750933900155,0.00036170997287859115
v38_state_scale_defensive,baseline,state_scaled_linear,-0.08,-0.2,-1.4,0.0,deepcheck_b12_s8080,17,25.0,300,-0.005245356537651918,0.0017546434623480819,False,0.004379678593696345,0.008766807885896366,0.00038906809438998314
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,baseline_b20_s4242,5,22.0,300,-0.00288498894396757,0.0041150110560324304,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,baseline_b20_s4242,5,25.0,300,-0.00297626099327461,0.00402373900672539,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,baseline_b20_s4242,17,22.0,300,-0.0024952386174770303,0.004504761382522969,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,baseline_b20_s4242,17,25.0,300,-0.0025248836251786752,0.0044751163748213245,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,altblock_b16_s4242,5,22.0,300,-0.003130862920006472,0.0038691370799935282,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
