variant,seed,transaction_cost_bps,slippage_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05,wealth_first_score
v25d_asym_downside,5,12,12,0.004696222287632956,0.0015149962535785377,0.0005985331059004008,0.019784946236559138,-0.0023663446460624,0.007525937251896,-0.006476956281369305,0.005004820584996924
v25d_asym_downside,17,12,12,0.004696222287632956,0.0015149962535785377,0.0005985331059004008,0.019784946236559138,-0.0023663446460624,0.007525937251896,-0.007313848917242183,0.005004820584996924
v25d_asym_downside,29,12,12,0.004696222287632956,0.0015149962535785377,0.0005985331059004008,0.019784946236559138,-0.0023663446460624,0.007525937251896,-0.007239345872385172,0.005004820584996924
v25d_asym_downside,5,15,15,0.004373094157877855,0.0014481830944179652,0.0005592028074013365,0.018494623655913978,-0.0023663446460624,0.0075652648439454,-0.0067143846457488774,0.0046777835995358355
v25d_asym_downside,17,15,15,0.004373094157877855,0.0014481830944179652,0.0005592028074013365,0.018494623655913978,-0.0023663446460624,0.0075652648439454,-0.008030709509172961,0.0046777835995358355
v25d_asym_downside,29,15,15,0.004373094157877855,0.0014481830944179652,0.0005592028074013365,0.018494623655913978,-0.0023663446460624,0.0075652648439454,-0.007325736835140062,0.0046777835995358355
v25d_asym_downside,5,18,18,0.00205469175350641,-0.0041421055914817595,0.0004025746783916393,0.013763440860215054,-0.001917629676022,0.0079397878567467,-0.013171460085301545,-0.0003182920510281992
v25d_asym_downside,17,18,18,0.00205469175350641,-0.0041421055914817595,0.0004025746783916393,0.013763440860215054,-0.001917629676022,0.0079397878567467,-0.013270865276356136,-0.0003182920510281992
v25d_asym_downside,29,18,18,0.00205469175350641,-0.0041421055914817595,0.0004025746783916393,0.013763440860215054,-0.001917629676022,0.0079397878567467,-0.013165418451456617,-0.0003182920510281992
v25d_asym_downside,5,22,22,0.0019043021851817387,-0.004439497919296875,0.0004025746783916393,0.013763440860215054,-0.001917629676022,0.0081449301415731,-0.013507374265737771,-0.0006173777832604284
v25d_asym_downside,17,22,22,0.0019043021851817387,-0.004439497919296875,0.0004025746783916393,0.013763440860215054,-0.001917629676022,0.0081449301415731,-0.013541388128538261,-0.0006173777832604284
v25d_asym_downside,29,22,22,0.0019043021851817387,-0.004439497919296875,0.0004025746783916393,0.013763440860215054,-0.001917629676022,0.0081449301415731,-0.01362484655272661,-0.0006173777832604284
v25d_asym_downside,5,25,25,0.0017915287439663307,-0.004662488866915004,0.0004025746783916393,0.013763440860215054,-0.001917629676022,0.0082987626030267,-0.01368655346676172,-0.000841646698284901
v25d_asym_downside,17,25,25,0.0017915287439663307,-0.004662488866915004,0.0004025746783916393,0.013763440860215054,-0.001917629676022,0.0082987626030267,-0.013657724169345542,-0.000841646698284901
v25d_asym_downside,29,25,25,0.0017915287439663307,-0.004662488866915004,0.0004025746783916393,0.013763440860215054,-0.001917629676022,0.0082987626030267,-0.0138574147710753,-0.000841646698284901
v25d_balance_activity,5,12,12,0.00404860636600739,-0.0036676243141336995,0.0004974400113441974,0.01806451612903226,-0.0017759782576312,0.0058272944073243,-0.01206871316967304,0.001841714200432392
v25d_balance_activity,17,12,12,0.00404860636600739,-0.0036676243141336995,0.0004974400113441974,0.01806451612903226,-0.0017759782576312,0.0058272944073243,-0.012966261655929633,0.001841714200432392
v25d_balance_activity,29,12,12,0.00404860636600739,-0.0036676243141336995,0.0004974400113441974,0.01806451612903226,-0.0017759782576312,0.0058272944073243,-0.012312402831223618,0.001841714200432392
v25d_balance_activity,5,15,15,0.003909970505315874,-0.0038965256270262483,0.0004974400113441974,0.01806451612903226,-0.0017759782576312,0.005903430892541,-0.012406480079465727,0.0015886276832946015
v25d_balance_activity,17,15,15,0.003909970505315874,-0.0038965256270262483,0.0004974400113441974,0.01806451612903226,-0.0017759782576312,0.005903430892541,-0.01317882576691764,0.0015886276832946015
v25d_balance_activity,29,15,15,0.003909970505315874,-0.0038965256270262483,0.0004974400113441974,0.01806451612903226,-0.0017759782576312,0.005903430892541,-0.012482428264514006,0.0015886276832946015
v25d_balance_activity,5,18,18,0.003771356841175866,-0.0041253784903239055,0.0004974400113441974,0.01806451612903226,-0.0017759782576312,0.0059795630405835,-0.012744137551061564,0.001335587587505765
v25d_balance_activity,17,18,18,0.003771356841175866,-0.0041253784903239055,0.0004974400113441974,0.01806451612903226,-0.0017759782576312,0.0059795630405835,-0.013380887965703825,0.001335587587505765
v25d_balance_activity,29,18,18,0.003771356841175866,-0.0041253784903239055,0.0004974400113441974,0.01806451612903226,-0.0017759782576312,0.0059795630405835,-0.012652427325972476,0.001335587587505765
v25d_balance_activity,5,22,22,0.0035865731438881497,-0.004430440291561699,0.0004974400113441974,0.01806451612903226,-0.0017759782576312,0.0061294345373917,-0.013177008113057238,0.0009982729895991519
v25d_balance_activity,17,22,22,0.0035865731438881497,-0.004430440291561699,0.0004974400113441974,0.01806451612903226,-0.0017759782576312,0.0061294345373917,-0.013864940035852502,0.0009982729895991519
v25d_balance_activity,29,22,22,0.0035865731438881497,-0.004430440291561699,0.0004974400113441974,0.01806451612903226,-0.0017759782576312,0.0061294345373917,-0.012879051724699692,0.0009982729895991519
v25d_balance_activity,5,25,25,0.0034480112572946144,-0.0046591801422793955,0.0004974400113441974,0.01806451612903226,-0.0017904008294524,0.0063106310865228,-0.013448030375200714,0.0007453411776467686
v25d_balance_activity,17,25,25,0.0034480112572946144,-0.0046591801422793955,0.0004974400113441974,0.01806451612903226,-0.0017904008294524,0.0063106310865228,-0.014272402886332497,0.0007453411776467686
v25d_balance_activity,29,25,25,0.0034480112572946144,-0.0046591801422793955,0.0004974400113441974,0.01806451612903226,-0.0017904008294524,0.0063106310865228,-0.013048989266057498,0.0007453411776467686
v25d_ref_tailhard01,5,12,12,0.00432517857402197,0.001430671526575944,0.0009294364230609572,0.02924731182795699,-0.0032958911269299,0.0098349087260426,-0.007894221470553414,0.004343437020014225
v25d_ref_tailhard01,17,12,12,0.00432517857402197,0.001430671526575944,0.0009294364230609572,0.02924731182795699,-0.0032958911269299,0.0098349087260426,-0.008382688707481406,0.004343437020014225
v25d_ref_tailhard01,29,12,12,0.00432517857402197,0.001430671526575944,0.0009294364230609572,0.02924731182795699,-0.0032958911269299,0.0098349087260426,-0.008135813979607092,0.004343437020014225
v25d_ref_tailhard01,5,15,15,0.004063610947791041,0.0013457624952970537,0.0009294364230609572,0.02924731182795699,-0.0032958911269299,0.00990386705385,-0.008521075906004498,0.004039414878143849
v25d_ref_tailhard01,17,15,15,0.004063610947791041,0.0013457624952970537,0.0009294364230609572,0.02924731182795699,-0.0032958911269299,0.00990386705385,-0.008969269136371449,0.004039414878143849
v25d_ref_tailhard01,29,15,15,0.004063610947791041,0.0013457624952970537,0.0009294364230609572,0.02924731182795699,-0.0032958911269299,0.00990386705385,-0.009044902931949057,0.004039414878143849
v25d_ref_tailhard01,5,18,18,0.003802194388636959,0.001260859193553454,0.0009294364230609572,0.02924731182795699,-0.0032958911269299,0.0099728223150991,-0.00899921059142555,0.0037355466681179687
v25d_ref_tailhard01,17,18,18,0.003802194388636959,0.001260859193553454,0.0009294364230609572,0.02924731182795699,-0.0032958911269299,0.0099728223150991,-0.00957605944289156,0.0037355466681179687
v25d_ref_tailhard01,29,18,18,0.003802194388636959,0.001260859193553454,0.0009294364230609572,0.02924731182795699,-0.0032958911269299,0.0099728223150991,-0.009832461279664839,0.0037355466681179687
v25d_ref_tailhard01,5,22,22,0.0036979990451007972,0.0021548605112966523,0.0005291421899194243,0.018494623655913978,-0.0016486670798651,0.0056397305780805,-0.007658239864873994,0.004378572658309555
v25d_ref_tailhard01,17,22,22,0.0036979990451007972,0.0021548605112966523,0.0005291421899194243,0.018494623655913978,-0.0016486670798651,0.0056397305780805,-0.008222338286364156,0.004378572658309555
v25d_ref_tailhard01,29,22,22,0.0036979990451007972,0.0021548605112966523,0.0005291421899194243,0.018494623655913978,-0.0016486670798651,0.0056397305780805,-0.007451043180594119,0.004378572658309555
v25d_ref_tailhard01,5,25,25,0.003549836590228539,0.0019891067637951565,0.0005291421899194243,0.018494623655913978,-0.0016486670798651,0.0057347375410553,-0.007781976590731976,0.004147533329686549
v25d_ref_tailhard01,17,25,25,0.003549836590228539,0.0019891067637951565,0.0005291421899194243,0.018494623655913978,-0.0016486670798651,0.0057347375410553,-0.008430591835235285,0.004147533329686549
v25d_ref_tailhard01,29,25,25,0.003549836590228539,0.0019891067637951565,0.0005291421899194243,0.018494623655913978,-0.0016486670798651,0.0057347375410553,-0.007726029149746694,0.004147533329686549
v25d_tune_a,5,12,12,0.004961955379578909,0.001407358814947024,0.00076110610797678,0.02666666666666667,-0.0019186911339716,0.0053932856406717,-0.0069751449445249305,0.005094805206069836
v25d_tune_a,17,12,12,0.004961955379578909,0.001407358814947024,0.00076110610797678,0.02666666666666667,-0.0019186911339716,0.0053932856406717,-0.007174627122802646,0.005094805206069836
v25d_tune_a,29,12,12,0.004961955379578909,0.001407358814947024,0.00076110610797678,0.02666666666666667,-0.0019186911339716,0.0053932856406717,-0.007492924716069316,0.005094805206069836
v25d_tune_a,5,15,15,0.0034747606802032482,0.0,0.0007125755965398451,0.024946236559139783,-0.0019186911339716,0.0054286530142302,-0.007217793951250023,0.0029403289827983643
