variant,scenarios,all_non_path,all_case_floor,min_case_slack,min_mean_path_slack,mean_of_mean_path,mean_test_relative,mean_turnover,mean_executed_step_rate
v25h_ref,3,True,False,-0.0009726793990810995,0.0005979845273456205,-0.005785099607635593,0.006055804367690282,0.00064332786681922,0.022709677419354823
v25h_looser_d,3,True,False,-0.0028142275022919007,-0.00216019940169834,-0.008516352579051622,0.0039834302935312805,0.00057730085647484,0.023053763440860155
v25h_balanced_e,3,False,False,-0.0051927067463248,-0.004174518842166673,-0.010238086036530543,0.0034257752478417005,0.0005934339466889399,0.020903225806451597
v25h_looser_a,3,True,False,-0.0057906689047313,-0.0036542641939071334,-0.00975139647044567,0.004904214561583519,0.001042559710864,0.03569892473118281
v25h_looser_b,3,True,False,-0.005975484384156599,-0.0035346432290176534,-0.009928872724719075,0.003938131572668401,0.0007752441827857198,0.027010752688172
v25h_looser_c,3,True,False,-0.007470046248506599,-0.004353665593734526,-0.010762256173239894,0.004032633271029521,0.0009427132279122801,0.032258064516129
