variant,scenario,scenario_group,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25q_a,altblock_b24_s4242,sentinel,24,4242,5,22,0.0056678254195627,0.0033130530472509356,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100195873627256,-0.005003128712546828
v25q_a,altblock_b24_s4242,sentinel,24,4242,11,22,0.0056678254195627,0.0033130530472509356,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100195873627256,-0.007335440692891421
v25q_a,altblock_b24_s4242,sentinel,24,4242,17,22,0.0056678254195627,0.0033130530472509356,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100195873627256,-0.007602768191560598
v25q_a,altblock_b24_s4242,sentinel,24,4242,29,22,0.0056678254195627,0.0033130530472509356,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100195873627256,-0.006165577198285588
v25q_a,altblock_b24_s4242,sentinel,24,4242,5,25,0.005411486556892786,0.003261434366713223,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100878797274229,-0.005491565217402638
v25q_a,altblock_b24_s4242,sentinel,24,4242,11,25,0.005411486556892786,0.003261434366713223,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100878797274229,-0.007930393599963493
v25q_a,altblock_b24_s4242,sentinel,24,4242,17,25,0.005411486556892786,0.003261434366713223,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100878797274229,-0.008270798251865063
v25q_a,altblock_b24_s4242,sentinel,24,4242,29,25,0.005411486556892786,0.003261434366713223,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100878797274229,-0.0069462368498888595
v25q_a,baseline_b20_s4242,sentinel,20,4242,5,22,0.0056678254195627,0.0033130530472509356,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100195873627256,-0.008394057360134249
v25q_a,baseline_b20_s4242,sentinel,20,4242,11,22,0.0056678254195627,0.0033130530472509356,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100195873627256,-0.01043987983229924
v25q_a,baseline_b20_s4242,sentinel,20,4242,17,22,0.0056678254195627,0.0033130530472509356,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100195873627256,-0.009284000619154142
v25q_a,baseline_b20_s4242,sentinel,20,4242,29,22,0.0056678254195627,0.0033130530472509356,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100195873627256,-0.007420063224586909
v25q_a,baseline_b20_s4242,sentinel,20,4242,5,25,0.005411486556892786,0.003261434366713223,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100878797274229,-0.00924717243546524
v25q_a,baseline_b20_s4242,sentinel,20,4242,11,25,0.005411486556892786,0.003261434366713223,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100878797274229,-0.011383317397782438
v25q_a,baseline_b20_s4242,sentinel,20,4242,17,25,0.005411486556892786,0.003261434366713223,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100878797274229,-0.010213534751953324
v25q_a,baseline_b20_s4242,sentinel,20,4242,29,25,0.005411486556892786,0.003261434366713223,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0100878797274229,-0.008069606092361492
v25q_a,rand_b10_p10706,random_shortblock,10,10706,5,18,0.006009843082533895,0.003381880653509972,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0099285261986563,-0.009867259601518201
v25q_a,rand_b10_p10706,random_shortblock,10,10706,11,18,0.006009843082533895,0.003381880653509972,0.0009135973035296807,0.028817204301075268,-0.0032764927410342,0.0099285261986563,-0.01054608398821022
