variant,path_bootstrap_reps,rows,breach_count,breach_rate,min_case_slack,mean_case_slack
v25t_pA,300,24,1,0.041666666666666664,-2.90847786760199e-05,0.0015952913209039193
v25t_n8,300,24,1,0.041666666666666664,-4.7989272370730154e-05,0.001523235297355657
v25t_pA,1200,24,0,0.0,0.00037704464188399386,0.0013628054327952711
v25t_n8,1200,24,0,0.0,0.00029428476656710983,0.0012788354022859026
v25t_pA,2400,24,0,0.0,0.0006396013111646497,0.0013856041279262626
v25t_n8,2400,24,0,0.0,0.000581120104086957,0.0013143811487608065
