variant,feature_family,signal_model_family,regime_drawdown_threshold,regime_drawdown_floor,state_scale_slope_min,state_scale_slope_max,state_deadband_relaxation,state_deadband_min_ratio,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,mean_validation_relative,mean_turnover
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,baseline_b20_s4242,5,22.0,300,-0.004642767184481044,0.002357232815518956,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,baseline_b20_s4242,5,25.0,300,-0.004829464610703071,0.0021705353892969292,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,baseline_b20_s4242,17,22.0,300,-0.0036643842839554127,0.0033356157160445874,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,baseline_b20_s4242,17,25.0,300,-0.003992095667043116,0.003007904332956884,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,altblock_b16_s4242,5,22.0,300,-0.006583189883013351,0.00041681011698664876,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,altblock_b16_s4242,5,25.0,300,-0.006816571398462894,0.00018342860153710595,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,altblock_b16_s4242,17,22.0,300,-0.005063589759196169,0.0019364102408038313,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,altblock_b16_s4242,17,25.0,300,-0.005424992336981765,0.0015750076630182347,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,altseed_b20_s5252,5,22.0,300,-0.0035165087971669507,0.0034834912028330494,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,altseed_b20_s5252,5,25.0,300,-0.0037978182737772427,0.0032021817262227574,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,altseed_b20_s5252,17,22.0,300,-0.004378695568387797,0.002621304431612203,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,altseed_b20_s5252,17,25.0,300,-0.004494920935807239,0.002505079064192761,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,deepcheck_b12_s8080,5,22.0,300,-0.005334742381510443,0.0016652576184895572,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,deepcheck_b12_s8080,5,25.0,300,-0.00572255231456526,0.0012774476854347403,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,deepcheck_b12_s8080,17,22.0,300,-0.0049143753625112245,0.0020856246374887756,False,0.006079300810590382,0.008661347332039248,0.0006529236888526112
v39_single_linear_ref,baseline,single_linear,-0.08,-0.2,-1.0,0.5,0.0,0.5,deepcheck_b12_s8080,17,25.0,300,-0.0051296346655089085,0.0018703653344910916,False,0.005896244043710386,0.008388425830677981,0.0006529236888526112
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,baseline_b20_s4242,5,22.0,300,-0.00288498894396757,0.0041150110560324304,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,baseline_b20_s4242,5,25.0,300,-0.00297626099327461,0.00402373900672539,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,baseline_b20_s4242,17,22.0,300,-0.0024952386174770303,0.004504761382522969,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,baseline_b20_s4242,17,25.0,300,-0.0025248836251786752,0.0044751163748213245,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,altblock_b16_s4242,5,22.0,300,-0.003130862920006472,0.0038691370799935282,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,altblock_b16_s4242,5,25.0,300,-0.003273945428312475,0.0037260545716875254,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,altblock_b16_s4242,17,22.0,300,-0.002988057922646814,0.004011942077353186,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,altblock_b16_s4242,17,25.0,300,-0.0031081789711364105,0.0038918210288635896,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,altseed_b20_s5252,5,22.0,300,-0.002449385057166714,0.004550614942833286,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,altseed_b20_s5252,5,25.0,300,-0.002478413960941811,0.004521586039058189,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,altseed_b20_s5252,17,22.0,300,-0.002718464409663973,0.004281535590336027,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,altseed_b20_s5252,17,25.0,300,-0.002985940494283612,0.0040140595057163875,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,deepcheck_b12_s8080,5,22.0,300,-0.003073754833211234,0.003926245166788766,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,deepcheck_b12_s8080,5,25.0,300,-0.0031020217775544865,0.0038979782224455137,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,deepcheck_b12_s8080,17,22.0,300,-0.003012255268363151,0.00398774473163685,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v39_state_scale_base,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,0.0,0.5,deepcheck_b12_s8080,17,25.0,300,-0.0030541411221665757,0.003945858877833424,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
