variant,path_bootstrap_reps,rows,all_non_path,curated_breach_count,train_breach_count,holdout_breach_count,total_breach_count,min_case_slack,mean_case_slack,mean_test_relative,mean_turnover,mean_executed_step_rate
v25w_pA,600,99,True,0,0,0,0,0.00037018096882334133,0.0020179160674626416,0.005384239962380601,0.0006707529060632235,0.024086021505376337
v25w_n8,600,99,True,0,0,0,0,0.0003427746995966095,0.0019625810284285374,0.005329090934335062,0.0006714764520370678,0.024086021505376337
v25w_pA,900,99,True,0,0,0,0,0.00048506132408147017,0.0019680902384484394,0.005384239962380601,0.0006707529060632235,0.024086021505376337
v25w_n8,900,99,True,0,0,0,0,0.00042329843531765856,0.0019071081638903195,0.005329090934335062,0.0006714764520370678,0.024086021505376337
