variant,path_bootstrap_reps,rows,all_non_path,curated_breach_count,train_breach_count,holdout_breach_count,total_breach_count,min_case_slack,mean_case_slack,mean_test_relative,mean_turnover,mean_executed_step_rate
v25x_pA,600,145,True,0,0,0,0,0.00010803763647745414,0.002109439341995505,0.005409486126300192,0.0006707529060632235,0.02408602150537634
v25x_n8,600,145,True,0,0,0,0,7.836054711083968e-05,0.002048885416702947,0.00535437418769012,0.0006714764520370678,0.02408602150537634
