variant,scenario,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25k_ref,deepcheck_b12_s8080,12,8080,5,18,0.004946948444693433,0.0013833917110219751,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.0060840098430248,-0.0072229442979103164
v25k_ref,deepcheck_b12_s8080,12,8080,5,22,0.004714304918365775,0.0011976271190403676,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.006127755390511,-0.00748763173168635
v25k_ref,deepcheck_b12_s8080,12,8080,5,25,0.004539882603659428,0.0010583237744554719,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.0061605639285625,-0.007564866650291302
v25k_ref,deepcheck_b12_s8080,12,8080,17,18,0.004946948444693433,0.0013833917110219751,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.0060840098430248,-0.006216113869420409
v25k_ref,deepcheck_b12_s8080,12,8080,17,22,0.004714304918365775,0.0011976271190403676,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.006127755390511,-0.006420312238479914
v25k_ref,deepcheck_b12_s8080,12,8080,17,25,0.004539882603659428,0.0010583237744554719,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.0061605639285625,-0.006670036131084312
v25k_ref,altblock_b16_s4242,16,4242,5,18,0.004946948444693433,0.0013833917110219751,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.0060840098430248,-0.00701956889856592
v25k_ref,altblock_b16_s4242,16,4242,5,22,0.004714304918365775,0.0011976271190403676,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.006127755390511,-0.007185080573054253
v25k_ref,altblock_b16_s4242,16,4242,5,25,0.004539882603659428,0.0010583237744554719,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.0061605639285625,-0.007443567285361785
v25k_ref,altblock_b16_s4242,16,4242,29,18,0.004946948444693433,0.0013833917110219751,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.0060840098430248,-0.006329809900240718
v25k_ref,altblock_b16_s4242,16,4242,29,22,0.004714304918365775,0.0011976271190403676,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.006127755390511,-0.006928475013235269
v25k_ref,altblock_b16_s4242,16,4242,29,25,0.004539882603659428,0.0010583237744554719,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.0061605639285625,-0.007383666064996869
v25k_ref,baseline_b20_s4242,20,4242,17,22,0.004714304918365775,0.0011976271190403676,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.006127755390511,-0.005869665121837131
v25k_ref,baseline_b20_s4242,20,4242,29,25,0.004539882603659428,0.0010583237744554719,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.0061605639285625,-0.00540153488409319
v25k_ref,altseed_b20_s5252,20,5252,29,22,0.004714304918365775,0.0011976271190403676,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.006127755390511,-0.005958721079116974
v25k_ref,deepcheck_b28_s9090,28,9090,17,22,0.004714304918365775,0.0011976271190403676,0.0006214607614865512,0.022365591397849462,-0.0018924857685201,0.006127755390511,-0.005432342857277117
v25k_n1,deepcheck_b12_s8080,12,8080,5,18,0.005025008458916247,0.0034109242304818377,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0070998244885637,-0.007402094681674448
v25k_n1,deepcheck_b12_s8080,12,8080,5,22,0.004772239180851123,0.0033406342012964885,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0072464179190852,-0.007769639505372783
v25k_n1,deepcheck_b12_s8080,12,8080,5,25,0.004582728719839358,0.0032879187901231344,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0073563512592131,-0.008036736132288341
v25k_n1,deepcheck_b12_s8080,12,8080,17,18,0.005025008458916247,0.0034109242304818377,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0070998244885637,-0.006629486650194033
v25k_n1,deepcheck_b12_s8080,12,8080,17,22,0.004772239180851123,0.0033406342012964885,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0072464179190852,-0.006982574311354989
v25k_n1,deepcheck_b12_s8080,12,8080,17,25,0.004582728719839358,0.0032879187901231344,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0073563512592131,-0.007385341290892272
v25k_n1,altblock_b16_s4242,16,4242,5,18,0.005025008458916247,0.0034109242304818377,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0070998244885637,-0.007915682464017287
v25k_n1,altblock_b16_s4242,16,4242,5,22,0.004772239180851123,0.0033406342012964885,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0072464179190852,-0.008181073126251975
v25k_n1,altblock_b16_s4242,16,4242,5,25,0.004582728719839358,0.0032879187901231344,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0073563512592131,-0.008286397563867686
v25k_n1,altblock_b16_s4242,16,4242,29,18,0.005025008458916247,0.0034109242304818377,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0070998244885637,-0.007414197419109553
v25k_n1,altblock_b16_s4242,16,4242,29,22,0.004772239180851123,0.0033406342012964885,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0072464179190852,-0.0077882830342558326
v25k_n1,altblock_b16_s4242,16,4242,29,25,0.004582728719839358,0.0032879187901231344,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0073563512592131,-0.007967345435746198
v25k_n1,baseline_b20_s4242,20,4242,17,22,0.004772239180851123,0.0033406342012964885,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0072464179190852,-0.005956095599225897
v25k_n1,baseline_b20_s4242,20,4242,29,25,0.004582728719839358,0.0032879187901231344,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0073563512592131,-0.006694676645114789
v25k_n1,altseed_b20_s5252,20,5252,29,22,0.004772239180851123,0.0033406342012964885,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0072464179190852,-0.007507019725783093
v25k_n1,deepcheck_b28_s9090,28,9090,17,22,0.004772239180851123,0.0033406342012964885,0.000676679026850302,0.024086021505376344,-0.0018920520062175,0.0072464179190852,-0.005675894496036937
v25k_n2,deepcheck_b12_s8080,12,8080,5,18,0.005656224076569405,0.003409073846959876,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0071015487002888,-0.007226997478797686
v25k_n2,deepcheck_b12_s8080,12,8080,5,22,0.00539392303872277,0.00333860499435068,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0072484161936605,-0.007447295013628574
v25k_n2,deepcheck_b12_s8080,12,8080,5,25,0.0051972663545315715,0.0032857554762817376,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0073585550364315,-0.007795534258100123
v25k_n2,deepcheck_b12_s8080,12,8080,17,18,0.005656224076569405,0.003409073846959876,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0071015487002888,-0.006606025217069411
v25k_n2,deepcheck_b12_s8080,12,8080,17,22,0.00539392303872277,0.00333860499435068,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0072484161936605,-0.0069685816774363914
v25k_n2,deepcheck_b12_s8080,12,8080,17,25,0.0051972663545315715,0.0032857554762817376,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0073585550364315,-0.007399524622260628
v25k_n2,altblock_b16_s4242,16,4242,5,18,0.005656224076569405,0.003409073846959876,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0071015487002888,-0.007880423993615276
v25k_n2,altblock_b16_s4242,16,4242,5,22,0.00539392303872277,0.00333860499435068,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0072484161936605,-0.008150771488952508
v25k_n2,altblock_b16_s4242,16,4242,5,25,0.0051972663545315715,0.0032857554762817376,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0073585550364315,-0.008256366605822435
v25k_n2,altblock_b16_s4242,16,4242,29,18,0.005656224076569405,0.003409073846959876,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0071015487002888,-0.007085563532786221
v25k_n2,altblock_b16_s4242,16,4242,29,22,0.00539392303872277,0.00333860499435068,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0072484161936605,-0.007593754601653691
v25k_n2,altblock_b16_s4242,16,4242,29,25,0.0051972663545315715,0.0032857554762817376,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0073585550364315,-0.007867293754515614
v25k_n2,baseline_b20_s4242,20,4242,17,22,0.00539392303872277,0.00333860499435068,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0072484161936605,-0.005812023943594274
v25k_n2,baseline_b20_s4242,20,4242,29,25,0.0051972663545315715,0.0032857554762817376,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0073585550364315,-0.006703710805463131
v25k_n2,altseed_b20_s5252,20,5252,29,22,0.00539392303872277,0.00333860499435068,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0072484161936605,-0.007499519074026778
v25k_n2,deepcheck_b28_s9090,28,9090,17,22,0.00539392303872277,0.00333860499435068,0.0007014754273404766,0.024946236559139783,-0.0018916192217103,0.0072484161936605,-0.005699948345467293
v25k_n3,deepcheck_b12_s8080,12,8080,5,18,0.005025007164107187,0.0034109232259835753,0.0006766785985130476,0.024086021505376344,-0.0018920502360678,0.0070998162697336,-0.007402093133528287
v25k_n3,deepcheck_b12_s8080,12,8080,5,22,0.004772238047031552,0.0033406332334733335,0.0006766785985130476,0.024086021505376344,-0.0018920502360678,0.0072464095367027,-0.007769626878414415
v25k_n3,deepcheck_b12_s8080,12,8080,5,25,0.004582727706665279,0.003287917849801092,0.0006766785985130476,0.024086021505376344,-0.0018920502360678,0.0073563427541923,-0.008036723267689465
v25k_n3,deepcheck_b12_s8080,12,8080,17,18,0.005025007164107187,0.0034109232259835753,0.0006766785985130476,0.024086021505376344,-0.0018920502360678,0.0070998162697336,-0.006629485452379252
v25k_n3,deepcheck_b12_s8080,12,8080,17,22,0.004772238047031552,0.0033406332334733335,0.0006766785985130476,0.024086021505376344,-0.0018920502360678,0.0072464095367027,-0.00698256632062449
v25k_n3,deepcheck_b12_s8080,12,8080,17,25,0.004582727706665279,0.003287917849801092,0.0006766785985130476,0.024086021505376344,-0.0018920502360678,0.0073563427541923,-0.00738533229885816
v25k_n3,altblock_b16_s4242,16,4242,5,18,0.005025007164107187,0.0034109232259835753,0.0006766785985130476,0.024086021505376344,-0.0018920502360678,0.0070998162697336,-0.007915679703640776
