variant,scenario,envelope,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25r_n8,random_holdout_b11_p13416,random_holdout,11,13416,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.006089397119381389
v25r_n8,random_holdout_b11_p13416,random_holdout,11,13416,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005416798824559493
v25r_n8,random_holdout_b11_p13416,random_holdout,11,13416,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.00497470830794382
v25r_n8,random_holdout_b11_p13416,random_holdout,11,13416,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005783058593199298
v25r_n8,random_holdout_b11_p13416,random_holdout,11,13416,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006392767711683971
v25r_n8,random_holdout_b11_p13416,random_holdout,11,13416,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0055754011937442505
v25r_n8,random_holdout_b11_p13416,random_holdout,11,13416,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.00535857182480155
v25r_n8,random_holdout_b11_p13416,random_holdout,11,13416,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005980007332583392
v25r_n8,random_holdout_b11_p6384,random_holdout,11,6384,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005182458706850323
v25r_n8,random_holdout_b11_p6384,random_holdout,11,6384,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005830786603378041
v25r_n8,random_holdout_b11_p6384,random_holdout,11,6384,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004964535591314456
v25r_n8,random_holdout_b11_p6384,random_holdout,11,6384,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0061071223750381095
v25r_n8,random_holdout_b11_p6384,random_holdout,11,6384,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0054021688440338824
v25r_n8,random_holdout_b11_p6384,random_holdout,11,6384,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006013531702579444
v25r_n8,random_holdout_b11_p6384,random_holdout,11,6384,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.00518448854637985
v25r_n8,random_holdout_b11_p6384,random_holdout,11,6384,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006219084624133003
v25r_n8,random_holdout_b12_p8284,random_holdout,12,8284,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005628044048948772
v25r_n8,random_holdout_b12_p8284,random_holdout,12,8284,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.006187808605311418
v25r_n8,random_holdout_b12_p8284,random_holdout,12,8284,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.006616920672603105
v25r_n8,random_holdout_b12_p8284,random_holdout,12,8284,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004899262395452025
v25r_n8,random_holdout_b12_p8284,random_holdout,12,8284,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005787340922692962
v25r_n8,random_holdout_b12_p8284,random_holdout,12,8284,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0064411194075965576
v25r_n8,random_holdout_b12_p8284,random_holdout,12,8284,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.00704798927237073
v25r_n8,random_holdout_b12_p8284,random_holdout,12,8284,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005228097108007523
v25r_n8,random_holdout_b13_p12612,random_holdout,13,12612,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004805539300373994
v25r_n8,random_holdout_b13_p12612,random_holdout,13,12612,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005615322265408029
v25r_n8,random_holdout_b13_p12612,random_holdout,13,12612,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005563338504735715
v25r_n8,random_holdout_b13_p12612,random_holdout,13,12612,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0058023603450714
v25r_n8,random_holdout_b13_p12612,random_holdout,13,12612,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004947208990436241
v25r_n8,random_holdout_b13_p12612,random_holdout,13,12612,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005809944414324575
v25r_n8,random_holdout_b13_p12612,random_holdout,13,12612,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005789017209534742
v25r_n8,random_holdout_b13_p12612,random_holdout,13,12612,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005991492276990256
v25r_n8,random_holdout_b17_p7370,random_holdout,17,7370,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005127062834673374
v25r_n8,random_holdout_b17_p7370,random_holdout,17,7370,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005374318838519859
v25r_n8,random_holdout_b17_p7370,random_holdout,17,7370,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004357736313517296
v25r_n8,random_holdout_b17_p7370,random_holdout,17,7370,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005512811645932714
v25r_n8,random_holdout_b17_p7370,random_holdout,17,7370,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0053544058073808016
v25r_n8,random_holdout_b17_p7370,random_holdout,17,7370,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.00554784563626578
v25r_n8,random_holdout_b17_p7370,random_holdout,17,7370,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004779759113513726
v25r_n8,random_holdout_b17_p7370,random_holdout,17,7370,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.00571157660946841
v25r_n8,random_holdout_b18_p11802,random_holdout,18,11802,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004624820780398259
v25r_n8,random_holdout_b18_p11802,random_holdout,18,11802,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005149603060364305
v25r_n8,random_holdout_b18_p11802,random_holdout,18,11802,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004493213010267144
v25r_n8,random_holdout_b18_p11802,random_holdout,18,11802,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0045905798809758366
v25r_n8,random_holdout_b18_p11802,random_holdout,18,11802,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005048681261427624
