variant,scenarios,all_non_path,all_case_floor,min_case_slack,min_mean_path_slack,mean_mean_path,mean_test_relative,mean_turnover,mean_executed_step_rate
v25j_n12,7,True,False,-0.0005648666502913015,0.0004019656657107077,-0.005604305536283724,0.004923742722899806,0.0006214607614865514,0.022365591397849455
v25j_ref,7,True,False,-0.000972679399081129,0.0005979845273455754,-0.004879713947597244,0.0060558043676903145,0.0006433278668192536,0.022709677419354847
v25j_n11,7,True,False,-0.002527186696461626,-0.0011399332874041544,-0.0065980051332197405,0.004920501881629525,0.0008454440846688658,0.027440860215053767
