split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_21,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,0.003876,165,220,180,46,24,21,234,55,186,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,200,57,-0.032065,-0.393935,-0.243149,-0.239287,0.090153,0.756822,-0.425104,0.986445,0.04756
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,0.003876,165,220,180,46,24,21,234,55,186,False,False,0,1,0.245,0.31,0.39,0.6,0.25,0.15,200,57,-0.032065,-0.393935,-0.243149,-0.239287,0.090153,0.756822,-0.425104,0.986445,0.04756
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.009771,165,220,180,163,1,0,198,69,198,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.032065,-0.393935,-0.243149,-0.239287,0.090153,0.756822,-0.425104,0.986445,0.04756
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.009771,165,220,180,163,1,0,198,69,198,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.032065,-0.393935,-0.243149,-0.239287,0.090153,0.756822,-0.425104,0.986445,0.04756
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,0.020186,172,220,180,7,2,57,228,33,206,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,-0.032065,-0.393935,-0.243149,-0.239287,0.090153,0.756822,-0.425104,0.986445,0.04756
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,0.020186,172,220,180,7,2,57,228,33,206,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,-0.032065,-0.393935,-0.243149,-0.239287,0.090153,0.756822,-0.425104,0.986445,0.04756
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,0.003876,163,220,180,48,34,26,232,58,186,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.362685,-0.088657,0.450697,1.188472,0.289955,0.236268,-0.200501,0.939051,0.0251
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,0.003876,163,220,180,48,34,26,232,58,186,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.362685,-0.088657,0.450697,1.188472,0.289955,0.236268,-0.200501,0.939051,0.0251
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.009771,163,220,180,166,0,0,207,69,197,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.362685,-0.088657,0.450697,1.188472,0.289955,0.236268,-0.200501,0.939051,0.0251
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.009771,163,220,180,166,0,0,207,69,197,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,200,61,0.362685,-0.088657,0.450697,1.188472,0.289955,0.236268,-0.200501,0.939051,0.0251
chrono,17,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,0.020186,181,220,180,11,1,55,217,37,211,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.362685,-0.088657,0.450697,1.188472,0.289955,0.236268,-0.200501,0.939051,0.0251
chrono,17,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,0.020186,181,220,180,11,1,55,217,37,211,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,200,196,0.362685,-0.088657,0.450697,1.188472,0.289955,0.236268,-0.200501,0.939051,0.0251
chrono,27,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.268788,0.272629,-0.003019,0.015525,0.003695,0.001147,9,-0.003842,0.041356,164,220,180,46,24,20,228,41,65,False,False,1,1,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.43866,-0.243047,0.626156,-0.07419,-0.353436,0.006685,0.2,0.578563,0.0529
chrono,27,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.347882,0.299071,0.037574,0.019613,0.009008,0.001818,18,0.048811,0.041356,164,220,180,46,24,20,228,41,65,False,False,1,1,0.245,0.31,0.39,0.6,0.25,0.15,200,57,0.43866,-0.243047,0.626156,-0.07419,-0.353436,0.006685,0.2,0.578563,0.0529
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.009771,156,220,180,159,1,0,199,51,195,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.100867,-0.108848,-0.705589,0.133388,0.601265,1.442137,-0.017146,0.97678,0.058169
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.009771,156,220,180,159,1,0,199,51,195,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,200,61,-0.100867,-0.108848,-0.705589,0.133388,0.601265,1.442137,-0.017146,0.97678,0.058169
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,0.020186,164,220,180,7,0,60,235,27,208,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,200,196,-0.100867,-0.108848,-0.705589,0.133388,0.601265,1.442137,-0.017146,0.97678,0.058169
