variant,seed,transaction_cost_bps,slippage_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05,wealth_first_score
v25e_asym_01,5,12,12,0.005015060680155869,0.0015574404939640019,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.0071491442012262,-0.006029760717452753,0.005376463258956529
v25e_asym_01,17,12,12,0.005015060680155869,0.0015574404939640019,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.0071491442012262,-0.006278757753842695,0.005376463258956529
v25e_asym_01,29,12,12,0.005015060680155869,0.0015574404939640019,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.0071491442012262,-0.007093577263864647,0.005376463258956529
v25e_asym_01,5,15,15,0.004858577622716442,0.0014166693945545372,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.007260599737739,-0.00627827972340364,0.005149594651812369
v25e_asym_01,17,15,15,0.004858577622716442,0.0014166693945545372,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.007260599737739,-0.006583830853702633,0.005149594651812369
v25e_asym_01,29,15,15,0.004858577622716442,0.0014166693945545372,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.007260599737739,-0.0075244699910222475,0.005149594651812369
v25e_asym_01,5,18,18,0.004702140708424896,0.0012759158777171375,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.0073720449426276,-0.006521532139537367,0.004922780979102123
v25e_asym_01,17,18,18,0.004702140708424896,0.0012759158777171375,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.0073720449426276,-0.006983030246681371,0.004922780979102123
v25e_asym_01,29,18,18,0.004702140708424896,0.0012759158777171375,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.0073720449426276,-0.007828942867799166,0.004922780979102123
v25e_asym_01,5,22,22,0.004493629903402008,0.0010882718692808435,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.007520622479045,-0.006928055091954927,0.004620448169861088
v25e_asym_01,17,22,22,0.004493629903402008,0.0010882718692808435,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.007520622479045,-0.007422919099836833,0.004620448169861088
v25e_asym_01,29,22,22,0.004493629903402008,0.0010882718692808435,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.007520622479045,-0.008197496987061131,0.004620448169861088
v25e_asym_01,5,25,25,0.004337300587021931,0.0009475593709786789,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.0076320435797674,-0.007393047539956865,0.004393762604329929
v25e_asym_01,17,25,25,0.004337300587021931,0.0009475593709786789,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.0076320435797674,-0.007579291922978759,0.004393762604329929
v25e_asym_01,29,25,25,0.004337300587021931,0.0009475593709786789,0.0005564235575751223,0.0189247311827957,-0.0019180834652953,0.0076320435797674,-0.008338386638005102,0.004393762604329929
v25e_asym_02,5,12,12,0.004437495516174117,0.0011431836160156195,0.0007666723971791251,0.024946236559139783,-0.0019502147849655,0.0074059146610747,-0.0075603211985014514,0.004434083026297583
v25e_asym_02,17,12,12,0.004437495516174117,0.0011431836160156195,0.0007666723971791251,0.024946236559139783,-0.0019502147849655,0.0074059146610747,-0.008345884459106572,0.004434083026297583
