variant,envelope,scenario,block_size,path_seed,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v25t_n8,random_train,random_train_b14_p9908,14,9908,5,25,1200,-0.005955404991473063,0.0010445950085269376,False,0.005195956249227418
v25t_n8,random_train,random_train_b14_p9908,14,9908,17,25,1200,-0.005738315898355778,0.0012616841016442224,False,0.005195956249227418
v25t_n8,random_train,random_train_b15_p7333,15,7333,5,25,1200,-0.0053470773890934966,0.0016529226109065036,False,0.005195956249227418
v25t_n8,random_train,random_train_b15_p7333,15,7333,17,25,1200,-0.005493703990359855,0.0015062960096401453,False,0.005195956249227418
v25t_n8,random_train,random_train_b16_p9575,16,9575,5,25,1200,-0.00555631125231214,0.0014436887476878598,False,0.005195956249227418
v25t_n8,random_train,random_train_b16_p9575,16,9575,17,25,1200,-0.005605232995417442,0.0013947670045825582,False,0.005195956249227418
v25t_n8,random_train,random_train_b17_p10727,17,10727,5,25,1200,-0.005277866092429367,0.001722133907570633,False,0.005195956249227418
v25t_n8,random_train,random_train_b17_p10727,17,10727,17,25,1200,-0.005805778481318924,0.001194221518681076,False,0.005195956249227418
v25t_n8,random_holdout,random_holdout_b11_p13416,11,13416,5,25,2400,-0.005770942056903722,0.0012290579430962786,False,0.005195956249227418
v25t_n8,random_holdout,random_holdout_b11_p13416,11,13416,17,25,2400,-0.006418879895913043,0.000581120104086957,False,0.005195956249227418
v25t_n8,random_holdout,random_holdout_b11_p6384,11,6384,5,25,2400,-0.005920104130884812,0.0010798958691151878,False,0.005195956249227418
v25t_n8,random_holdout,random_holdout_b11_p6384,11,6384,17,25,2400,-0.0059228006331390965,0.0010771993668609037,False,0.005195956249227418
v25t_n8,random_holdout,random_holdout_b12_p8284,12,8284,5,25,2400,-0.005872774195504321,0.0011272258044956792,False,0.005195956249227418
v25t_n8,random_holdout,random_holdout_b12_p8284,12,8284,17,25,2400,-0.005589164080372538,0.001410835919627462,False,0.005195956249227418
v25t_n8,random_holdout,random_holdout_b13_p12612,13,12612,5,25,2400,-0.006236781386263918,0.0007632186137360823,False,0.005195956249227418
v25t_n8,random_holdout,random_holdout_b13_p12612,13,12612,17,25,2400,-0.00587385248867533,0.0011261475113246702,False,0.005195956249227418
v25t_n8,random_holdout,random_holdout_b17_p7370,17,7370,5,25,2400,-0.005335017806957781,0.0016649821930422191,False,0.005195956249227418
v25t_n8,random_holdout,random_holdout_b17_p7370,17,7370,17,25,2400,-0.005482471973858138,0.0015175280261418619,False,0.005195956249227418
v25t_n8,random_holdout,random_holdout_b18_p11802,18,11802,5,25,2400,-0.004906725876280571,0.002093274123719429,False,0.005195956249227418
v25t_n8,random_holdout,random_holdout_b18_p11802,18,11802,17,25,2400,-0.005121578291511691,0.0018784217084883087,False,0.005195956249227418
v25t_n8,random_train,random_train_b13_p8083,13,8083,5,25,2400,-0.005714907120127249,0.0012850928798727509,False,0.005195956249227418
v25t_n8,random_train,random_train_b13_p8083,13,8083,17,25,2400,-0.005684118547779509,0.0013158814522204907,False,0.005195956249227418
v25t_n8,random_train,random_train_b14_p8696,14,8696,5,25,2400,-0.006083438415432185,0.0009165615845678149,False,0.005195956249227418
v25t_n8,random_train,random_train_b14_p8696,14,8696,17,25,2400,-0.005648529357755755,0.0013514706422442452,False,0.005195956249227418
v25t_n8,random_train,random_train_b14_p9908,14,9908,5,25,2400,-0.005946645743040368,0.0010533542569596318,False,0.005195956249227418
v25t_n8,random_train,random_train_b14_p9908,14,9908,17,25,2400,-0.005509953070605778,0.0014900469293942223,False,0.005195956249227418
v25t_n8,random_train,random_train_b15_p7333,15,7333,5,25,2400,-0.005514559307150857,0.0014854406928491428,False,0.005195956249227418
v25t_n8,random_train,random_train_b15_p7333,15,7333,17,25,2400,-0.005454611500378004,0.0015453884996219965,False,0.005195956249227418
v25t_n8,random_train,random_train_b16_p9575,16,9575,5,25,2400,-0.005811079965206528,0.0011889200347934724,False,0.005195956249227418
v25t_n8,random_train,random_train_b16_p9575,16,9575,17,25,2400,-0.00568382844687555,0.0013161715531244504,False,0.005195956249227418
v25t_n8,random_train,random_train_b17_p10727,17,10727,5,25,2400,-0.0053606784862347216,0.0016393215137652786,False,0.005195956249227418
v25t_n8,random_train,random_train_b17_p10727,17,10727,17,25,2400,-0.005591409652889179,0.0014085903471108214,False,0.005195956249227418
v25t_pA,random_holdout,random_holdout_b11_p13416,11,13416,5,25,300,-0.006380305173941347,0.0006196948260586534,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b11_p13416,11,13416,17,25,300,-0.005347876961092351,0.001652123038907649,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b11_p6384,11,6384,5,25,300,-0.005150225624653458,0.0018497743753465423,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b11_p6384,11,6384,17,25,300,-0.005119904797529962,0.0018800952024700382,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b12_p8284,12,8284,5,25,300,-0.005599723749955181,0.0014002762500448188,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b12_p8284,12,8284,17,25,300,-0.00702908477867602,-2.90847786760199e-05,True,0.005251300621383015
