variant,scenario,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,slippage_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25k_n8,altblock_b16_s4242,16,4242,5,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.0053412996201710914
v25k_n8,altblock_b16_s4242,16,4242,17,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.004408381997484651
v25k_n8,altblock_b16_s4242,16,4242,29,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.004471237106825381
v25k_n8,altblock_b16_s4242,16,4242,5,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.005697236156461771
v25k_n8,altblock_b16_s4242,16,4242,17,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.004627378485300981
v25k_n8,altblock_b16_s4242,16,4242,29,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.004961192651219348
v25k_n8,altblock_b16_s4242,16,4242,5,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.005773858489765271
v25k_n8,altblock_b16_s4242,16,4242,17,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.004890668743104181
v25k_n8,altblock_b16_s4242,16,4242,29,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.005479153540297315
v25k_n8,altblock_b16_s4242,16,4242,5,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0059960883490866755
v25k_n8,altblock_b16_s4242,16,4242,17,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005301250808646974
v25k_n8,altblock_b16_s4242,16,4242,29,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0061492884174913056
v25k_n8,altblock_b16_s4242,16,4242,5,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006467675641166903
v25k_n8,altblock_b16_s4242,16,4242,17,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005705749396530113
v25k_n8,altblock_b16_s4242,16,4242,29,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006390731227499457
v25k_n8,altblock_b24_s4242,24,4242,5,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.003002408221257441
v25k_n8,altblock_b24_s4242,24,4242,17,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.002686718777470881
v25k_n8,altblock_b24_s4242,24,4242,29,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.002946324245461029
v25k_n8,altblock_b24_s4242,24,4242,5,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.0030210599619113153
v25k_n8,altblock_b24_s4242,24,4242,17,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.0028219602875279633
v25k_n8,altblock_b24_s4242,24,4242,29,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.0030842403102694423
v25k_n8,altblock_b24_s4242,24,4242,5,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.0031129863741485462
v25k_n8,altblock_b24_s4242,24,4242,17,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.002957185500458903
v25k_n8,altblock_b24_s4242,24,4242,29,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.0032668831983589104
v25k_n8,altblock_b24_s4242,24,4242,5,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0033098565951188374
v25k_n8,altblock_b24_s4242,24,4242,17,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.003303879281709743
v25k_n8,altblock_b24_s4242,24,4242,29,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0038669791786798634
v25k_n8,altblock_b24_s4242,24,4242,5,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.003532627576329661
v25k_n8,altblock_b24_s4242,24,4242,17,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0035680731330058834
v25k_n8,altblock_b24_s4242,24,4242,29,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004331708687348245
v25k_n8,altboth_b24_s6060,24,6060,5,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.0029472892348262336
v25k_n8,altboth_b24_s6060,24,6060,17,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.0028145292803190445
v25k_n8,altboth_b24_s6060,24,6060,29,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.004182103927888824
v25k_n8,altboth_b24_s6060,24,6060,5,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.0030487748355405076
v25k_n8,altboth_b24_s6060,24,6060,17,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.0029614405224083484
v25k_n8,altboth_b24_s6060,24,6060,29,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.004520623065676477
v25k_n8,altboth_b24_s6060,24,6060,5,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.0032732587558450595
v25k_n8,altboth_b24_s6060,24,6060,17,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.003213496901277402
v25k_n8,altboth_b24_s6060,24,6060,29,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.004883300320532957
v25k_n8,altboth_b24_s6060,24,6060,5,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.003857439991496492
v25k_n8,altboth_b24_s6060,24,6060,17,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.003449652452625984
v25k_n8,altboth_b24_s6060,24,6060,29,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005332514666775606
v25k_n8,altboth_b24_s6060,24,6060,5,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004319222745265211
v25k_n8,altboth_b24_s6060,24,6060,17,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.003601867338231063
v25k_n8,altboth_b24_s6060,24,6060,29,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005651264284040736
v25k_n8,altseed_b20_s5252,20,5252,5,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.0033446044472333343
v25k_n8,altseed_b20_s5252,20,5252,17,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.0038241282765923254
v25k_n8,altseed_b20_s5252,20,5252,29,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.004119264065443884
v25k_n8,altseed_b20_s5252,20,5252,5,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.0035007754438592547
v25k_n8,altseed_b20_s5252,20,5252,17,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.003836528776874326
v25k_n8,altseed_b20_s5252,20,5252,29,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.004642435499182085
v25k_n8,altseed_b20_s5252,20,5252,5,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.0036480019502328977
v25k_n8,altseed_b20_s5252,20,5252,17,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.003961919639520339
