pack,rows,all_non_path,curated_breach_count,train_breach_count,holdout_breach_count,total_breach_count,min_case_slack,mean_case_slack,mean_test_relative,mean_turnover,mean_executed_step_rate
pack1,145,True,0,0,0,0,0.00010803763647745414,0.002109439341995505,0.005409486126300192,0.0006707529060632235,0.02408602150537634
pack2,145,True,0,0,0,0,0.00031353439412481424,0.0021232291055079526,0.005409486126300192,0.0006707529060632235,0.02408602150537634
pack3,145,True,0,0,0,0,0.00021575030353071512,0.002215241518068031,0.005409486126300192,0.0006707529060632235,0.02408602150537634
