variant,scenario,rows,mean_test_relative,worst_robust_min,mean_turnover,mean_executed_step_rate,mean_path,min_case_path,mean_path_slack,min_case_slack,pass_non_path,pass_case_floor
v25k_n8,altblock_b16_s4242,30,0.005405167897253717,0.003287241307322386,0.0006714764520370679,0.02408602150537634,-0.005368490257998378,-0.006712097694089819,0.0016315097420016222,0.00028790230591018134,True,True
v25k_n8,baseline_b20_s4242,20,0.005290088399023696,0.003287241307322386,0.0006714764520370679,0.024086021505376348,-0.004771517697158731,-0.006068006478306237,0.002228482302841269,0.0009319935216937627,True,True
v25k_n8,deepcheck_b12_s8080,30,0.005405167897253717,0.003287241307322386,0.0006714764520370679,0.02408602150537634,-0.005691980203562983,-0.006843874258722465,0.0013080197964370176,0.00015612574127753503,True,True
v25k_n8,stress_b14_s7070,30,0.005405167897253717,0.003287241307322386,0.0006714764520370679,0.02408602150537634,-0.005340992170360309,-0.0064316530094890405,0.0016590078296396908,0.0005683469905109597,True,True
v25k_n8,stress_b30_s10010,20,0.005290088399023696,0.003287241307322386,0.0006714764520370679,0.024086021505376348,-0.0032867516859585175,-0.003951508743364495,0.0037132483140414826,0.003048491256635505,True,True
v25k_ref,altblock_b16_s4242,30,0.004733711988906211,0.0010583237744554719,0.0006214607614865513,0.022365591397849455,-0.0063416677864617625,-0.007443567285361785,0.0006583322135382376,-0.00044356728536178516,True,False
v25k_ref,baseline_b20_s4242,20,0.004627093761012601,0.0010583237744554719,0.0006214607614865513,0.02236559139784946,-0.0058792119225044345,-0.006697315217464428,0.0011207880774955657,0.00030268478253557204,True,True
v25k_ref,deepcheck_b12_s8080,30,0.004733711988906211,0.0010583237744554719,0.0006214607614865513,0.022365591397849455,-0.007164782892611107,-0.008165521333733172,-0.00016478289261110703,-0.0011655213337331714,True,False
v25k_ref,stress_b14_s7070,30,0.004733711988906211,0.0010583237744554719,0.0006214607614865513,0.022365591397849455,-0.006834708542904185,-0.007430481650816906,0.0001652914570958149,-0.0004304816508169055,True,False
v25k_ref,stress_b30_s10010,20,0.004627093761012601,0.0010583237744554719,0.0006214607614865513,0.02236559139784946,-0.005169409389670755,-0.005924706340784086,0.0018305906103292455,0.0010752936592159142,True,True
