candidate,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative,mean_validation_relative,mean_turnover,mean_executed_steps,mean_gate_suppression,seed_return_range,activity_violations,cost35_breach_count,cost35_min_slack
k_s09262555_objw1,32,0,0.0,0.006828024583384328,0.007661425226973807,0.010985215164071693,0.011338866682650828,0.00014998286574619923,1.5,0.9967672413793103,0.0,0,0,0.006828024583384328
k_s09262554_objw1,32,0,0.0,0.006828024602023202,0.007661425358884109,0.01098521511122319,0.01133886655936972,0.00014998286362379731,1.5,0.9967672413793103,0.0,0,0,0.006828024602023202
k_s09262552_objw1,32,0,0.0,0.006828024639298435,0.007661425622700146,0.010985215005526794,0.011338866312803508,0.00014998285937899305,1.5,0.9967672413793103,0.0,0,0,0.006828024639298435
k_s09262550_objw1,32,0,0.0,0.006828024676573046,0.0076614258865169175,0.010985214899830231,0.011338866066241182,0.00014998285513418856,1.5,0.9967672413793103,0.0,0,0,0.006828024676573046
k_s09262548_objw1,32,0,0.0,0.006828024713846747,0.007661426150332343,0.010985214794134723,0.011338865819675192,0.0001499828508893845,1.5,0.9967672413793103,0.0,0,0,0.006828024713846747
l_s092625470_objw1,32,0,0.0,0.006828024732484916,0.007661426282241602,0.010985214741285831,0.011338865696391864,0.00014998284876698237,1.5,0.9967672413793103,0.0,0,0,0.006828024732484916
l_s092625468_objw1,32,0,0.0,0.007059729458403224,0.011627051303365752,0.0176562857770845,0.011338865671736587,0.00010032556507044447,1.0,0.9978448275862069,0.0,32,0,0.007059729458403224
l_s092625466_objw1,32,0,0.0,0.007059729458350139,0.011627051293375549,0.01765628573859085,0.011338865647079532,0.00010032556485320128,1.0,0.9978448275862069,0.0,32,0,0.007059729458350139
l_s092625464_objw1,32,0,0.0,0.007059729458295599,0.011627051283382414,0.01765628570009714,0.011338865622423533,0.00010032556463595834,1.0,0.9978448275862069,0.0,32,0,0.007059729458295599
l_s092625462_objw1,32,0,0.0,0.007059729458234109,0.01162705127338692,0.017656285661600157,0.011338865597766035,0.00010032556441871562,1.0,0.9978448275862069,0.0,32,0,0.007059729458234109
k_s09262546_objw1,32,0,0.0,0.007059729458182323,0.011627051263395688,0.017656285623108003,0.011338865573109647,0.00010032556420147243,1.0,0.9978448275862069,0.0,32,0,0.007059729458182323
k_s09262544_objw1,32,0,0.0,0.007059729457630642,0.011627051163470946,0.017656285238168257,0.01133886532654449,0.00010032556202904292,1.0,0.9978448275862069,0.0,32,0,0.007059729457630642
k_s09262542_objw1,32,0,0.0,0.0070597294570763185,0.011627051063543243,0.0176562848532274,0.011338865079981775,0.00010032555985661343,1.0,0.9978448275862069,0.0,32,0,0.0070597294570763185
j_s0926254_objw1,32,0,0.0,0.007059729456527119,0.011627050963618135,0.017656284468287764,0.011338864833417561,0.00010032555768418369,1.0,0.9978448275862069,0.0,32,0,0.007059729456527119
