variant,path_bootstrap_reps,group,scenario,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,pass_non_path
v25w_pA,600,random_holdout,random_holdout_b16_p10086,3,0,0.0,0.001470598664705591,0.0016541850052363375,True
v25w_pA,600,random_train,random_train_b10_p9889,3,0,0.0,0.0011432835655648113,0.0012253264641407613,True
v25w_pA,600,random_train,random_train_b11_p6801,3,0,0.0,0.0010540317843126309,0.0012431480389720933,True
v25w_pA,600,random_train,random_train_b13_p14175,3,0,0.0,0.0004786864929076703,0.001178820348897147,True
v25w_pA,600,random_train,random_train_b13_p14394,3,0,0.0,0.0008284723519051684,0.0012290757241028977,True
v25w_pA,600,random_train,random_train_b16_p10914,3,0,0.0,0.0009403754982993335,0.0011213931382452501,True
v25w_pA,600,random_train,random_train_b16_p9682,3,0,0.0,0.0011497556732749043,0.0016048201578594877,True
v25w_pA,900,curated,altblock_b16_s4242,9,0,0.0,0.0007861627400551569,0.001620613512664227,True
v25w_pA,900,curated,altblock_b24_s4242,9,0,0.0,0.002697915707084042,0.003068054116019161,True
v25w_pA,900,curated,altseed_b20_s5252,9,0,0.0,0.001677976506665074,0.0024572543831863198,True
v25w_pA,900,curated,baseline_b20_s4242,9,0,0.0,0.002142331627023746,0.0027257577852999493,True
v25w_pA,900,curated,deepcheck_b12_s8080,9,0,0.0,0.0011642511305796077,0.0016019051132030622,True
v25w_pA,900,curated,deepcheck_b28_s9090,9,0,0.0,0.003096531110627493,0.0035750132485411956,True
v25w_pA,900,curated,stress_b14_s7070,9,0,0.0,0.0005769717428795503,0.001506126624406558,True
v25w_pA,900,random_holdout,random_holdout_b10_p10572,3,0,0.0,0.0008220434625661518,0.001000791320680553,True
v25w_pA,900,random_holdout,random_holdout_b11_p12340,3,0,0.0,0.0008347273877325747,0.0011037202068622384,True
v25w_pA,900,random_holdout,random_holdout_b12_p6198,3,0,0.0,0.00048506132408147017,0.0011678749273000423,True
v25w_pA,900,random_holdout,random_holdout_b15_p7889,3,0,0.0,0.0015648874664008546,0.0016581715999492072,True
v25w_pA,900,random_holdout,random_holdout_b15_p8956,3,0,0.0,0.0011500960234737843,0.0014657314528416915,True
v25w_pA,900,random_holdout,random_holdout_b16_p10086,3,0,0.0,0.0015441322842560832,0.0017456216668118453,True
v25w_pA,900,random_train,random_train_b10_p9889,3,0,0.0,0.0008487947475565019,0.0009464144388770223,True
v25w_pA,900,random_train,random_train_b11_p6801,3,0,0.0,0.0005712524933805191,0.000977555031722482,True
v25w_pA,900,random_train,random_train_b13_p14175,3,0,0.0,0.0006335283338591013,0.001312519057504252,True
v25w_pA,900,random_train,random_train_b13_p14394,3,0,0.0,0.0007846106252438314,0.0009447677943475301,True
v25w_pA,900,random_train,random_train_b16_p10914,3,0,0.0,0.001220069640874049,0.0013749292143766722,True
v25w_pA,900,random_train,random_train_b16_p9682,3,0,0.0,0.0012725471968552055,0.0015847068075635438,True
