variant,rows,all_non_path,all_case_floor,min_case_slack,mean_case_slack,mean_test_relative,mean_turnover,mean_executed_step_rate,breach_count
v25p_a,32,True,False,-0.00026860155688486834,0.001892935045367741,0.005345294671968026,0.0006707529060632234,0.024086021505376344,1
v25p_ref_nA,32,True,False,-0.00028116143195490786,0.0018524147384476062,0.005290087542365462,0.0006714762540477564,0.024086021505376344,1
v25p_ref_n8,32,True,False,-0.00028116319813575354,0.0018524116831183388,0.005290088399023696,0.0006714764520370678,0.024086021505376344,1
v25p_c,32,True,False,-0.0002822402670401127,0.0017228185067288066,0.006164091028282415,0.0006496819825804544,0.023225806451612905,2
v25p_e,32,True,False,-0.0008438836431417405,0.000578119532295523,0.004621561610361225,0.0006207055518506029,0.022365591397849462,10
v25p_f,32,True,False,-0.0059649088739063385,-0.0028341994408977366,0.005547547176145429,0.0009148799315984236,0.028817204301075268,28
v25p_b,32,False,False,-0.0033658974419049524,-0.001589373007157383,0.004369552066867954,0.0005416324183693894,0.019784946236559138,30
v25p_d,32,False,False,-0.003365901230860213,-0.0015893761951760515,0.00436955248828097,0.0005416325693656551,0.019784946236559138,30
