case,n,mean_test_rel,ci95_lo,ci95_hi,beat_rate,active_rate,mean_turnover,median_test_rel,p10,p90
A_locked_s10,30,-0.0003363,-0.001157995906410666,0.00048539590641066583,0.26666666666666666,0.5666666666666667,0.0035355,0.0,-0.0028076999999999993,0.0012536000000000014
G_gate009_s10,30,0.00036256666666666673,-7.953879642071555e-05,0.0008046721297540491,0.2,0.23333333333333334,0.0014780333333333333,0.0,0.0,0.0012536000000000014
I_gate009_s20,60,5.810000000000002e-05,-0.00039129556662262225,0.0005074955666226223,0.11666666666666667,0.15,0.0009482166666666666,0.0,0.0,0.0006945000000000002
