variant,scenario,mean_test_relative,worst_robust_min,mean_turnover,mean_executed_step_rate,mean_path,min_case_path,mean_path_slack,min_case_slack,pass_non_path,pass_case_floor
v25i_asym_t2,altblock_b16_s4242,0.0032484563669984644,0.0,0.0005305000498825213,0.018494623655913978,-0.007916707830784492,-0.008837965428117421,-0.0009167078307844917,-0.0018379654281174213,False,False
v25i_asym_t2,altblock_b24_s4242,0.0032484563669984644,0.0,0.0005305000498825213,0.018494623655913978,-0.00557021335820329,-0.006797732987241128,0.0014297866417967101,0.00020226701275887198,False,True
v25i_asym_t2,altboth_b24_s6060,0.0032484563669984644,0.0,0.0005305000498825213,0.018494623655913978,-0.006196519235513042,-0.0075206884360478395,0.0008034807644869578,-0.0005206884360478394,False,False
v25i_asym_t2,altseed_b20_s5252,0.0032484563669984644,0.0,0.0005305000498825213,0.018494623655913978,-0.006553263628212053,-0.007576549899575685,0.0004467363717879473,-0.0005765498995756848,False,False
v25i_asym_t2,baseline_b20_s4242,0.0032484563669984644,0.0,0.0005305000498825213,0.018494623655913978,-0.0066702083964005916,-0.0076622885780915865,0.0003297916035994086,-0.0006622885780915863,False,False
v25i_asym_t2,deepcheck_b12_s8080,0.0032484563669984644,0.0,0.0005305000498825213,0.018494623655913978,-0.007607555729349273,-0.009187288767238982,-0.0006075557293492729,-0.0021872887672389823,False,False
v25i_asym_t2,deepcheck_b28_s9090,0.0032484563669984644,0.0,0.0005305000498825213,0.018494623655913978,-0.0059620904914423995,-0.007423085159450882,0.0010379095085576006,-0.00042308515945088145,False,False
v25i_ref,altblock_b16_s4242,0.0060558043676903145,0.0032793641792554507,0.0006433278668192536,0.022709677419354847,-0.006402015472654425,-0.007839169345085772,0.0005979845273455754,-0.0008391693450857723,True,False
v25i_ref,altblock_b24_s4242,0.0060558043676903145,0.0032793641792554507,0.0006433278668192536,0.022709677419354847,-0.003912322223797437,-0.005085195601079839,0.0030876777762025628,0.0019148043989201608,True,True
v25i_ref,altboth_b24_s6060,0.0060558043676903145,0.0032793641792554507,0.0006433278668192536,0.022709677419354847,-0.00416760654459186,-0.005623563713858737,0.00283239345540814,0.0013764362861412634,True,True
v25i_ref,altseed_b20_s5252,0.0060558043676903145,0.0032793641792554507,0.0006433278668192536,0.022709677419354847,-0.004866094714229251,-0.006223225016396589,0.0021339052857707493,0.0007767749836034114,True,True
v25i_ref,baseline_b20_s4242,0.0060558043676903145,0.0032793641792554507,0.0006433278668192536,0.022709677419354847,-0.004915393640912361,-0.006121767648836246,0.002084606359087639,0.000878232351163754,True,True
v25i_ref,deepcheck_b12_s8080,0.0060558043676903145,0.0032793641792554507,0.0006433278668192536,0.022709677419354847,-0.006037889709340158,-0.007972679399081129,0.0009621102906598421,-0.000972679399081129,True,False
v25i_ref,deepcheck_b28_s9090,0.0060558043676903145,0.0032793641792554507,0.0006433278668192536,0.022709677419354847,-0.0038566753276552124,-0.005534648498920741,0.0031433246723447878,0.001465351501079259,True,True
v25i_tight_2,altblock_b16_s4242,0.0034342282401456795,0.0,0.0006456757395117924,0.022709677419354844,-0.009613971103793166,-0.011116309797681,-0.0026139711037931656,-0.0041163097976810005,True,False
v25i_tight_2,altblock_b24_s4242,0.0034342282401456795,0.0,0.0006456757395117924,0.022709677419354844,-0.006513752779674917,-0.008001398699125972,0.00048624722032508325,-0.001001398699125972,True,False
v25i_tight_2,altboth_b24_s6060,0.0034342282401456795,0.0,0.0006456757395117924,0.022709677419354844,-0.007101497280159509,-0.007931032673098743,-0.00010149728015950918,-0.0009310326730987426,True,False
v25i_tight_2,altseed_b20_s5252,0.0034342282401456795,0.0,0.0006456757395117924,0.022709677419354844,-0.007466504102666833,-0.00859847655218192,-0.0004665041026668329,-0.0015984765521819206,True,False
v25i_tight_2,baseline_b20_s4242,0.0034342282401456795,0.0,0.0006456757395117924,0.022709677419354844,-0.007633247932634704,-0.008317179663839307,-0.0006332479326347038,-0.0013171796638393072,True,False
v25i_tight_2,deepcheck_b12_s8080,0.0034342282401456795,0.0,0.0006456757395117924,0.022709677419354844,-0.008479125636066447,-0.009391443412673384,-0.0014791256360664464,-0.0023914434126733842,True,False
v25i_tight_2,deepcheck_b28_s9090,0.0034342282401456795,0.0,0.0006456757395117924,0.022709677419354844,-0.0067874293695342055,-0.008013040238317504,0.00021257063046579462,-0.0010130402383175035,True,False
