variant,path_bootstrap_reps,rows,breach_count,breach_rate,train_breach_count,holdout_breach_count,min_case_slack,mean_case_slack,mean_test_relative,mean_runtime_sec,total_runtime_sec
v25u_pA,600,24,0,0.0,0,0,0.0005046726264759877,0.0013970045618037705,0.005251300621383015,1.5378345502904267,36.90802920697024
v25u_n8,600,24,0,0.0,0,0,0.0004860905454183327,0.0013162164285971708,0.005195956249227418,1.6364566076663323,39.274958583991975
v25u_pA,900,24,0,0.0,0,0,0.0004318377171063032,0.0013663429949990157,0.005251300621383015,1.572763555457641,37.74632533098338
v25u_n8,900,24,0,0.0,0,0,0.00029428476656710983,0.0012932700510217114,0.005195956249227418,1.6207645834632178,38.89835000311723
v25u_pA,1200,24,0,0.0,0,0,0.00037704464188399386,0.0013628054327952711,0.005251300621383015,1.6616382325761758,39.87931758182822
v25u_n8,1200,24,0,0.0,0,0,0.00029428476656710983,0.0012788354022859026,0.005195956249227418,1.647729095503261,39.545498292078264
v25u_pA,1800,24,0,0.0,0,0,0.0005076097214961597,0.0014101211398974591,0.005251300621383015,1.7313469306221425,41.55232633493142
v25u_n8,1800,24,0,0.0,0,0,0.000476487808676573,0.0013466763542450098,0.005195956249227418,1.7413521353785957,41.7924512490863
