variant,feature_family,signal_model_family,regime_drawdown_threshold,regime_drawdown_floor,state_scale_slope_min,state_scale_slope_max,scale_turnover_penalty,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,mean_validation_relative,mean_turnover
v38b_state_scale_mild_pen24,baseline,state_scaled_linear,-0.08,-0.2,-0.6,0.15,2.4,altblock_b16_s4242,17,22.0,300,-0.009852557652348803,-0.002852557652348803,True,0.0032124711161472864,0.01032813450498673,0.0005566202454574153
v38b_state_scale_mild_pen24,baseline,state_scaled_linear,-0.08,-0.2,-0.6,0.15,2.4,altblock_b16_s4242,17,25.0,300,-0.008062192117136957,-0.0010621921171369572,True,0.003168505317135306,0.009832442636304294,0.0005499280792176549
v38b_state_scale_mild_pen24,baseline,state_scaled_linear,-0.08,-0.2,-0.6,0.15,2.4,altseed_b20_s5252,5,22.0,300,-0.006753414717572892,0.0002465852824271083,False,0.0032124711161472864,0.01032813450498673,0.0005566202454574153
v38b_state_scale_mild_pen24,baseline,state_scaled_linear,-0.08,-0.2,-0.6,0.15,2.4,altseed_b20_s5252,5,25.0,300,-0.005641889303921588,0.001358110696078412,False,0.003168505317135306,0.009832442636304294,0.0005499280792176549
v38b_state_scale_mild_pen24,baseline,state_scaled_linear,-0.08,-0.2,-0.6,0.15,2.4,altseed_b20_s5252,17,22.0,300,-0.007162411062264867,-0.0001624110622648672,True,0.0032124711161472864,0.01032813450498673,0.0005566202454574153
v38b_state_scale_mild_pen24,baseline,state_scaled_linear,-0.08,-0.2,-0.6,0.15,2.4,altseed_b20_s5252,17,25.0,300,-0.006108750083729108,0.0008912499162708918,False,0.003168505317135306,0.009832442636304294,0.0005499280792176549
v38b_state_scale_mild_pen24,baseline,state_scaled_linear,-0.08,-0.2,-0.6,0.15,2.4,deepcheck_b12_s8080,5,22.0,300,-0.008696741075596148,-0.0016967410755961481,True,0.0032124711161472864,0.01032813450498673,0.0005566202454574153
v38b_state_scale_mild_pen24,baseline,state_scaled_linear,-0.08,-0.2,-0.6,0.15,2.4,deepcheck_b12_s8080,5,25.0,300,-0.007170962949827608,-0.00017096294982760826,True,0.003168505317135306,0.009832442636304294,0.0005499280792176549
v38b_state_scale_mild_pen24,baseline,state_scaled_linear,-0.08,-0.2,-0.6,0.15,2.4,deepcheck_b12_s8080,17,22.0,300,-0.008969526066448796,-0.001969526066448796,True,0.0032124711161472864,0.01032813450498673,0.0005566202454574153
v38b_state_scale_mild_pen24,baseline,state_scaled_linear,-0.08,-0.2,-0.6,0.15,2.4,deepcheck_b12_s8080,17,25.0,300,-0.007527739733603445,-0.0005277397336034446,True,0.003168505317135306,0.009832442636304294,0.0005499280792176549
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,baseline_b20_s4242,5,22.0,300,-0.00572177087733623,0.0012782291226637703,False,0.0036919730901055826,0.010161942746902363,0.0005744179714896591
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,baseline_b20_s4242,5,25.0,300,-0.0048073466349797585,0.0021926533650202416,False,0.004059256781869402,0.009367209574237067,0.0005226686812284791
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,baseline_b20_s4242,17,22.0,300,-0.004843795654356891,0.002156204345643109,False,0.0036919730901055826,0.010161942746902363,0.0005744179714896591
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,baseline_b20_s4242,17,25.0,300,-0.004664172570953645,0.0023358274290463553,False,0.004059256781869402,0.009367209574237067,0.0005226686812284791
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,altblock_b16_s4242,5,22.0,300,-0.006946184083984419,5.3815916015581555e-05,False,0.0036919730901055826,0.010161942746902363,0.0005744179714896591
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,altblock_b16_s4242,5,25.0,300,-0.005874108656511778,0.0011258913434882218,False,0.004059256781869402,0.009367209574237067,0.0005226686812284791
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,altblock_b16_s4242,17,22.0,300,-0.006743381204793864,0.0002566187952061363,False,0.0036919730901055826,0.010161942746902363,0.0005744179714896591
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,altblock_b16_s4242,17,25.0,300,-0.0052546903305009385,0.0017453096694990617,False,0.004059256781869402,0.009367209574237067,0.0005226686812284791
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,altseed_b20_s5252,5,22.0,300,-0.0056061278181041615,0.0013938721818958387,False,0.0036919730901055826,0.010161942746902363,0.0005744179714896591
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,altseed_b20_s5252,5,25.0,300,-0.005174110059092174,0.0018258899409078263,False,0.004059256781869402,0.009367209574237067,0.0005226686812284791
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,altseed_b20_s5252,17,22.0,300,-0.005573178976373716,0.001426821023626284,False,0.0036919730901055826,0.010161942746902363,0.0005744179714896591
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,altseed_b20_s5252,17,25.0,300,-0.004750125632907647,0.002249874367092353,False,0.004059256781869402,0.009367209574237067,0.0005226686812284791
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,deepcheck_b12_s8080,5,22.0,300,-0.006834869791368353,0.000165130208631647,False,0.0036919730901055826,0.010161942746902363,0.0005744179714896591
