case,reps,path_p05,mean_test_relative,robust_min,mean_turnover
b12_s17_c12,300,-0.007423555605637777,0.0058020733637623055,0.00350502188809676,0.0006324888140830764
b12_s17_c12,600,-0.007627619503692828,0.0058020733637623055,0.00350502188809676,0.0006324888140830764
b12_s17_c12,1200,-0.007415824359646855,0.0058020733637623055,0.00350502188809676,0.0006324888140830764
b12_s17_c15,300,-0.007972679399081129,0.005624313688936455,0.003452944089644472,0.0006324888140830764
b12_s17_c15,600,-0.008038133291449756,0.005624313688936455,0.003452944089644472,0.0006324888140830764
b12_s17_c15,1200,-0.0079141522977833,0.005624313688936455,0.003452944089644472,0.0006324888140830764
b16_s17_c15,300,-0.007257969935350372,0.005624313688936455,0.003452944089644472,0.0006324888140830764
b16_s17_c15,600,-0.007282586413975167,0.005624313688936455,0.003452944089644472,0.0006324888140830764
b16_s17_c15,1200,-0.0076062608740660115,0.005624313688936455,0.003452944089644472,0.0006324888140830764
b16_s5_c12,300,-0.007479982800441092,0.0058020733637623055,0.00350502188809676,0.0006324888140830764
b16_s5_c12,600,-0.007256521487074824,0.0058020733637623055,0.00350502188809676,0.0006324888140830764
b16_s5_c12,1200,-0.006984377083841359,0.0058020733637623055,0.00350502188809676,0.0006324888140830764
b16_s5_c15,300,-0.007839169345085772,0.005624313688936455,0.003452944089644472,0.0006324888140830764
b16_s5_c15,600,-0.007557053633507276,0.005624313688936455,0.003452944089644472,0.0006324888140830764
b16_s5_c15,1200,-0.00735771695676527,0.005624313688936455,0.003452944089644472,0.0006324888140830764
b16_s5_c25,300,-0.007246295450869078,0.006081594873280194,0.0032793641792554507,0.0006505539019767048
b16_s5_c25,600,-0.005872059146779605,0.006081594873280194,0.0032793641792554507,0.0006505539019767048
b16_s5_c25,1200,-0.00570138876148818,0.006081594873280194,0.0032793641792554507,0.0006505539019767048
