candidate,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative,mean_validation_relative,mean_turnover,mean_executed_steps,mean_gate_suppression,seed_return_range,activity_violations,cost35_breach_count,cost35_min_slack
sc3e_s53_gf_neg001,24,0,0.0,0.007,0.011140449443728814,0.01658452000286105,0.011215050929218165,9.401678080563554e-05,0.9375,0.9979795258620688,0.0,24,0,0.007
sc3e_s53_gf_neg005,24,0,0.0,0.007,0.011140449443728814,0.01658452000286105,0.011215050929218165,9.401678080563554e-05,0.9375,0.9979795258620688,0.0,24,0,0.007
sc3e_s53_gf_pos001,24,0,0.0,0.007,0.011140449443728814,0.01658452000286105,0.011215050929218165,9.401678080563554e-05,0.9375,0.9979795258620688,0.0,24,0,0.007
sc3e_s53_gf_pos005,24,0,0.0,0.007,0.011140449443728814,0.01658452000286105,0.011215050929218165,9.401678080563554e-05,0.9375,0.9979795258620688,0.0,24,0,0.007
